,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
16,ŁKS Łódź,Warta Poznań,H,3,0,58,42,5,3,3,2,2,1,,,14,12,4,6,,,18,15,2,0,,,,,0.0,2.0,,,,,,,47,55,30,38,1.56,5.6,4.0,2019-03-16
15,Raków Częstochowa,Bruk-Bet T.,H,1,0,58,42,5,7,3,2,2,5,,,30,11,4,0,,,13,20,2,2,,,,,2.0,3.0,,,,,,,72,76,95,70,1.65,4.9,3.6,2019-03-17
60,Stomil Olsztyn,Raków Częstochowa,D,1,1,40,60,10,5,2,2,8,3,,,16,21,2,6,,,19,20,1,1,,,,,3.0,0.0,,,,,,,27,28,19,17,4.3,1.85,3.3,2019-03-23
59,ŁKS Łódź,Podbeskidzie B-B,H,3,0,51,49,11,7,5,2,6,5,,,17,16,8,8,,,18,25,2,2,,,,,1.0,3.0,,,,,,,62,49,43,31,2.1,3.47,3.225,2019-03-29
14,Raków Częstochowa,Garbarnia Kraków,H,1,0,56,44,14,4,8,2,6,2,,,23,7,6,5,,,21,25,2,7,,,,,1.0,3.0,,,,,,,115,120,59,54,1.31,8.38,5.2,2019-03-30
13,Bytovia Bytów,ŁKS Łódź,A,0,2,42,58,7,14,5,7,2,7,,,13,19,4,2,,,17,28,5,5,,,,,2.0,1.0,,,,,,,155,144,95,98,3.595,2.05,3.25,2019-04-03
58,Stal Mielec,Raków Częstochowa,H,3,1,36,64,8,8,3,4,5,4,,,15,21,2,12,,,20,24,3,0,,,,,2.0,3.0,,,,,,,106,94,40,68,2.51,2.885,3.025,2019-04-06
12,ŁKS Łódź,Puszcza Niepołomice,A,0,1,54,46,5,3,2,2,3,1,,,23,10,12,4,,,20,19,1,2,,,1.0,0.0,5.0,1.0,,,,,,,171,96,117,53,1.7,4.99,3.5,2019-04-07
11,GKS Tychy,ŁKS Łódź,A,0,2,45,55,13,16,3,11,10,5,,,19,18,6,6,,,23,22,9,3,,,,,3.0,0.0,,,,,,,108,86,59,54,3.62,2.05,3.225,2019-04-13
10,Raków Częstochowa,Warta Poznań,H,3,0,66,34,9,7,7,4,2,3,,,26,19,6,1,,,28,13,4,4,,,,,0.0,1.0,,,,,,,122,95,74,32,1.62,5.215,3.825,2019-04-14
9,Bytovia Bytów,Raków Częstochowa,D,2,2,31,69,5,15,4,6,1,9,,,7,27,0,6,,,18,24,4,2,,,,,3.0,1.0,,,,,,,115,135,73,100,4.385,1.76,3.575,2019-04-18
8,ŁKS Łódź,Sandecja Nowy Sącz,H,2,0,55,45,7,2,4,0,3,2,,,17,23,5,4,,,27,19,0,2,,,,,5.0,2.0,,,,,,,62,47,37,27,1.83,4.29,3.375,2019-04-19
57,Wigry Suwałki,ŁKS Łódź,D,1,1,47,53,7,11,2,3,5,8,,,17,14,2,6,,,24,29,2,1,,,,,1.0,4.0,,,,,,,86,121,33,97,4.645,1.76,3.425,2019-04-24
7,Raków Częstochowa,Podbeskidzie B-B,H,2,0,61,39,11,4,8,1,3,3,,,19,13,4,0,,,14,16,1,6,,,,,0.0,3.0,,,,,,,109,98,56,42,1.6549999999999998,5.16,3.6,2019-04-24
6,ŁKS Łódź,Raków Częstochowa,H,2,0,44,56,13,2,4,0,9,2,,,9,16,2,4,,,20,25,0,2,,,0.0,1.0,1.0,1.0,,,,,,,112,108,42,47,2.4,3.035,3.025,2019-04-27
5,Raków Częstochowa,GKS Tychy,D,0,0,64,36,14,7,9,0,5,7,,,17,15,10,4,,,21,17,0,9,,,,,1.0,3.0,,,,,,,146,114,94,49,1.545,5.725,3.95,2019-05-04
4,GKS Jastrzębie,ŁKS Łódź,A,0,2,45,55,8,10,3,8,5,2,,,14,25,6,7,,,31,29,6,3,,,0.0,1.0,3.0,1.0,,,,,,,120,123,59,59,4.245,1.81,3.475,2019-05-04
3,Sandecja Nowy Sącz,Raków Częstochowa,D,2,2,46,54,9,12,4,5,5,7,,,18,15,2,8,,,16,22,3,2,,,,,2.0,1.0,,,,,,,93,123,58,93,3.245,2.2,3.25,2019-05-11
2,ŁKS Łódź,Chojniczanka,H,2,0,52,48,10,5,5,0,5,5,,,17,20,3,6,,,15,16,0,3,,,,,2.0,0.0,,,,,,,57,48,43,29,1.54,5.585,4.075,2019-05-11
1,Raków Częstochowa,Wigry Suwałki,A,1,2,51,49,15,9,5,5,10,4,,,12,20,13,8,,,15,8,3,4,,,,,3.0,3.0,,,,,,,139,107,121,72,1.365,7.215,4.9,2019-05-18
0,Odra Opole,ŁKS Łódź,D,3,3,44,56,10,14,5,6,5,8,,,15,22,4,8,,,18,22,3,2,,,,,2.0,2.0,,,,,,,111,114,67,79,4.285,1.76,3.65,2019-05-18
