,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
56,Chrobry Głogów,ŁKS Łódź,A,0,1,48,52,10,10,1,5,9,5,,,15,17,9,6,,,36,22,4,1,,,,,1.0,1.0,,,,,,,90,81,55,40,2.67,2.6,3.1,2018-07-20
55,Raków Częstochowa,Puszcza Niepołomice,H,3,0,63,37,13,8,9,4,4,4,,,13,14,7,1,,,28,22,4,6,,,,,1.0,2.0,,,,,,,109,74,117,83,1.95,3.75,3.25,2018-07-21
54,ŁKS Łódź,GKS Katowice,A,0,1,52,48,10,9,6,5,4,4,,,18,16,5,6,,,33,23,4,6,,,,,0.0,3.0,,,,,,,126,113,80,57,2.61,2.86,2.95,2018-07-28
53,Raków Częstochowa,GKS Jastrzębie,D,2,2,49,51,6,11,2,6,4,5,,,12,19,3,8,,,27,27,4,0,,,,,3.0,1.0,,,,,,,129,126,75,89,1.88,3.9,3.4,2018-07-28
52,Chojniczanka,Raków Częstochowa,H,2,1,41,59,6,9,5,4,1,5,,,13,18,6,7,,,30,27,3,3,,,,,2.0,1.0,,,,,,,127,137,64,97,2.07,3.5,3.3,2018-08-03
51,Bruk-Bet T.,ŁKS Łódź,D,1,1,43,57,11,13,8,6,3,7,,,14,22,7,6,,,22,23,5,7,,,1.0,0.0,3.0,1.0,,,,,,,53,61,34,31,2.0,3.95,3.05,2018-08-04
65,Raków Częstochowa,Odra Opole,H,1,0,51,49,10,7,2,4,8,3,,,17,15,5,2,,,22,20,4,2,,,,,1.0,1.0,,,,,,,140,136,84,69,2.1,3.25,3.15,2018-08-10
50,ŁKS Łódź,Stomil Olsztyn,H,1,0,58,42,16,5,9,2,7,3,,,24,19,0,4,,,20,25,2,8,,,,,0.0,1.0,,,,,,,146,107,83,56,2.0,3.6,3.3,2018-08-11
49,Garbarnia Kraków,ŁKS Łódź,H,3,2,48,52,6,14,3,4,3,10,,,22,14,5,7,,,23,30,2,1,,,,,3.0,2.0,,,,,,,101,108,49,74,3.8,2.0,3.15,2018-08-18
48,Chrobry Głogów,Raków Częstochowa,A,0,1,43,57,13,16,3,7,10,9,,,17,10,7,5,,,19,23,6,3,,,,,2.0,1.0,,,,,,,72,84,41,45,2.92,2.35,3.2,2018-08-18
47,Raków Częstochowa,GKS Katowice,H,2,0,52,48,12,10,7,2,5,8,,,13,14,3,8,,,33,28,2,5,,,,,2.0,3.0,,,,,,,111,115,81,89,2.0,3.8,3.1,2018-08-22
64,ŁKS Łódź,Stal Mielec,A,0,2,53,47,13,11,2,7,11,4,,,19,21,5,5,,,22,23,5,2,,,,,2.0,2.0,,,,,,,152,89,96,48,2.14,3.5,3.0,2018-08-22
46,Warta Poznań,ŁKS Łódź,A,0,2,40,60,5,8,1,3,4,5,,,16,25,3,5,,,31,18,1,1,,,1.0,0.0,4.0,0.0,,,,,,,102,115,50,47,2.83,2.5,3.05,2018-08-25
45,Bruk-Bet T.,Raków Częstochowa,A,0,1,51,49,10,5,4,1,6,4,,,22,26,3,2,,,30,22,0,4,,,,,3.0,3.0,,,,,,,159,110,83,57,2.55,2.66,3.2,2018-08-26
44,Raków Częstochowa,Stomil Olsztyn,H,2,0,56,44,11,4,6,0,5,4,,,24,13,3,1,,,22,15,0,4,,,,,2.0,2.0,,,,,,,114,103,76,47,1.55,5.6,3.9,2018-09-01
43,ŁKS Łódź,Bytovia Bytów,A,2,3,55,45,19,12,10,6,9,6,,,24,13,11,3,,,27,24,3,8,,,,,1.0,3.0,,,,,,,166,100,115,53,1.65,4.95,3.75,2018-09-01
42,Garbarnia Kraków,Raków Częstochowa,D,1,1,46,54,4,12,2,5,2,7,,,22,17,1,6,,,26,20,4,1,,,,,4.0,2.0,,,,,,,91,105,38,62,4.85,1.67,3.7,2018-09-09
41,Puszcza Niepołomice,ŁKS Łódź,A,0,2,50,50,12,8,7,6,5,2,,,16,17,7,8,,,34,30,4,7,,,,,2.0,1.0,,,,,,,52,53,35,28,2.6,2.72,3.1,2018-09-14
40,Raków Częstochowa,Stal Mielec,D,1,1,59,41,6,7,2,4,4,3,,,12,13,3,0,,,24,13,3,1,,,,,,,,,,,,,67,61,104,99,1.91,4.4,3.35,2018-09-16
39,Podbeskidzie B-B,ŁKS Łódź,A,0,3,48,52,9,16,5,8,4,8,,,20,20,9,5,,,18,22,5,5,,,,,1.0,2.0,,,,,,,105,111,58,53,2.45,2.9,3.1,2018-09-19
38,ŁKS Łódź,GKS Tychy,D,0,0,52,48,12,10,7,4,5,6,,,20,22,6,8,,,13,21,4,7,,,,,2.0,3.0,,,,,,,147,104,89,54,1.9,3.9,3.4,2018-09-22
63,Warta Poznań,Raków Częstochowa,A,0,2,38,62,6,12,4,6,2,6,,,19,23,0,10,,,16,16,4,4,,,2.0,0.0,6.0,1.0,,,,,,,36,56,20,44,4.0,1.87,3.45,2018-09-22
37,Raków Częstochowa,Bytovia Bytów,H,2,1,57,43,10,5,2,2,8,3,,,16,10,5,5,,,3,8,1,1,,,,,2.0,3.0,,,,,,,92,74,113,74,1.55,5.9,3.85,2018-09-29
36,Sandecja Nowy Sącz,ŁKS Łódź,D,0,0,53,47,6,12,4,6,2,6,,,27,14,12,8,,,25,19,6,4,,,,,2.0,1.0,,,,,,,137,139,60,76,2.45,2.9,3.1,2018-09-30
35,ŁKS Łódź,Wigry Suwałki,H,2,1,55,45,10,7,5,1,5,6,,,16,15,7,2,,,25,29,0,3,,,,,1.0,2.0,,,,,,,189,145,114,82,1.62,5.4,3.65,2018-10-06
34,Podbeskidzie B-B,Raków Częstochowa,D,0,0,42,58,7,8,4,3,3,5,,,17,18,3,3,,,21,26,3,4,,,0.0,1.0,3.0,4.0,,,,,,,93,105,38,47,2.85,2.5,3.1,2018-10-06
33,ŁKS Łódź,GKS Jastrzębie,H,2,0,57,43,11,11,4,3,7,8,,,15,11,7,3,,,30,34,3,2,,,,,2.0,1.0,,,,,,,150,96,84,62,2.0,3.8,3.2,2018-10-20
32,GKS Tychy,Raków Częstochowa,D,0,0,41,59,6,12,4,7,2,5,,,14,17,5,9,,,11,17,7,4,,,,,1.0,1.0,,,,,,,103,92,104,106,3.2,2.27,3.15,2018-10-20
31,Raków Częstochowa,ŁKS Łódź,D,1,1,61,39,9,9,2,5,7,4,,,20,13,6,3,,,27,22,4,1,,,0.0,1.0,0.0,4.0,,,,,,,133,98,91,53,2.01,3.85,3.15,2018-10-24
30,Raków Częstochowa,Sandecja Nowy Sącz,H,2,0,64,36,11,3,6,2,5,1,,,20,16,3,3,,,27,20,2,4,,,,,2.0,2.0,,,,,,,105,76,110,81,1.95,3.85,3.3,2018-10-27
29,Chojniczanka,ŁKS Łódź,A,1,2,47,53,11,14,7,5,4,9,,,17,25,5,6,,,29,24,3,6,,,,,5.0,4.0,,,,,,,112,109,91,68,2.55,2.73,3.15,2018-10-28
28,ŁKS Łódź,Odra Opole,H,5,1,57,43,13,7,9,2,4,5,,,19,25,6,1,,,24,23,1,4,,,,,0.0,3.0,,,,,,,145,104,91,53,2.0,3.65,3.3,2018-11-03
27,Wigry Suwałki,Raków Częstochowa,A,0,3,43,57,3,15,1,9,2,6,,,13,15,2,6,,,23,21,6,1,,,,,1.0,1.0,,,,,,,89,110,42,81,4.85,1.67,3.7,2018-11-03
26,ŁKS Łódź,Chrobry Głogów,H,2,0,59,41,18,10,11,6,7,4,,,10,10,6,5,,,28,16,6,9,,,,,,,,,,,,,158,116,95,60,1.5,6.3,4.0,2018-11-10
25,Puszcza Niepołomice,Raków Częstochowa,A,1,3,42,58,13,14,8,9,5,5,,,14,27,5,6,,,19,15,6,7,,,1.0,0.0,5.0,2.0,,,,,,,87,102,62,67,3.65,2.02,3.25,2018-11-11
24,GKS Jastrzębie,Raków Częstochowa,A,1,5,51,49,5,13,2,9,3,4,,,20,22,4,5,,,28,13,4,1,,,,,2.0,2.0,,,,,,,101,110,84,80,3.65,2.05,3.2,2018-11-17
23,Raków Częstochowa,Chojniczanka,H,1,0,53,47,13,9,5,4,8,5,,,21,19,6,4,,,12,18,4,4,,,1.0,0.0,5.0,2.0,,,,,,,111,105,62,84,1.66,6.6,4.05,2018-11-23
22,ŁKS Łódź,Bruk-Bet T.,D,1,1,57,43,12,7,4,2,8,5,,,21,16,10,2,,,17,20,1,3,,,,,1.0,1.0,,,,,,,135,114,93,48,1.86,4.15,3.4,2018-11-24
21,GKS Katowice,ŁKS Łódź,D,1,1,47,53,8,14,3,6,5,8,,,20,25,4,8,,,19,20,5,2,,,1.0,0.0,5.0,1.0,,,,,,,71,71,71,82,3.55,2.05,3.25,2018-11-28
20,Stomil Olsztyn,ŁKS Łódź,D,2,2,50,50,8,20,4,10,4,10,,,22,11,5,2,,,18,17,8,2,,,,,1.0,2.0,,,,,,,107,113,65,71,3.65,2.0,3.3,2018-12-01
19,Odra Opole,Raków Częstochowa,A,0,2,49,51,5,9,5,4,0,5,,,20,23,4,3,,,30,26,2,5,,,,,4.0,2.0,,,,,,,101,113,68,66,4.15,1.85,3.4,2018-12-02
62,Raków Częstochowa,Chrobry Głogów,H,1,0,59,41,10,5,5,1,5,4,,,16,15,4,2,,,28,24,1,4,,,1.0,0.0,3.0,2.0,,,,,,,149,94,79,39,1.51,6.8,3.75,2019-03-01
18,ŁKS Łódź,Garbarnia Kraków,H,3,0,60,40,12,13,6,5,6,8,,,19,25,4,6,,,22,25,5,3,,,,,2.0,2.0,,,,,,,65,57,41,36,1.32,9.3,4.75,2019-03-02
61,Stal Mielec,ŁKS Łódź,A,0,1,56,44,9,3,5,1,4,2,,,22,14,5,5,,,32,19,0,5,,,0.0,1.0,2.0,5.0,,,,,,,135,99,84,47,2.15,3.325,3.2,2019-03-08
17,GKS Katowice,Raków Częstochowa,A,0,3,44,56,7,8,3,5,4,3,,,21,21,4,6,,,16,16,2,3,,,1.0,0.0,4.0,1.0,,,,,,,86,106,82,100,3.875,1.96,3.225,2019-03-09
