,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
295,Miedź Legnica,Pogoń Szczecin,H,1,0,1,52,48,14,15,3,3,11,12,,,,,2,4,2,4,,,3,6,9,15,,,1.0,1.0,,,,,,,65,69,29,44,2.96,2.7,2.9,2018-07-20
249,Jagiellonia Białystok,Lechia Gdańsk,A,0,1,1,55,45,18,8,7,2,11,6,,,,,3,2,1,1,,,1,7,12,18,1.0,1.0,2.0,5.0,,,,,,,65,47,36,25,1.8,4.4,3.55,2018-07-20
246,Legia Warszawa,Zagłębie Lubin,A,1,3,1,60,40,15,7,5,5,10,2,,,,,4,5,1,3,,,2,4,13,11,,,2.0,1.0,,,,,,,107,90,66,51,1.7,5.4,3.6,2018-07-21
247,Wisła Kraków,Arka Gdynia,D,0,0,1,60,40,23,6,3,1,20,5,,,,,7,1,2,1,,,1,3,11,22,,,0.0,1.0,,,,,,,97,82,92,36,2.35,3.0,3.15,2018-07-21
248,Śląsk Wrocław,Cracovia,H,3,1,1,50,50,18,14,6,4,12,10,,,,,5,1,1,0,,,4,3,11,19,,,1.0,3.0,,,,,,,65,69,25,29,2.3,3.2,3.2,2018-07-21
244,Wisła Płock,Lech Poznań,A,1,2,1,52,48,15,7,6,3,9,4,,,,,5,2,4,1,,,1,5,13,14,,,1.0,2.0,,,,,,,78,82,68,33,2.9,2.5,3.2,2018-07-22
245,Górnik Zabrze,Korona Kielce,D,1,1,1,45,55,11,21,4,8,7,13,,,,,3,5,2,1,,,7,3,15,16,,,2.0,3.0,,,,,,,75,88,42,64,2.96,2.5,3.18,2018-07-22
243,Zagłębie Sosnowiec,Piast Gliwice,A,1,2,1,49,51,13,18,4,2,9,16,,,,,4,4,1,2,,,0,3,14,12,,,,,,,,,,,87,94,80,92,2.47,2.81,3.05,2018-07-23
242,Wisła Kraków,Miedź Legnica,H,2,1,2,57,43,15,9,5,6,10,3,,,,,6,7,0,2,,,5,3,21,15,,,4.0,3.0,,,,,,,102,93,63,46,2.25,3.2,3.25,2018-07-27
294,Lechia Gdańsk,Śląsk Wrocław,D,1,1,2,51,49,14,12,2,4,12,8,,,,,4,9,0,3,,,3,1,20,8,,,4.0,0.0,,,,,,,126,148,74,106,2.3,3.2,3.25,2018-07-27
240,Korona Kielce,Legia Warszawa,A,1,2,2,50,50,13,11,3,7,10,4,,,,,5,6,1,2,,,5,2,20,10,,,4.0,2.0,,,,,,,90,81,59,50,3.1,2.41,3.2,2018-07-28
241,Zagłębie Lubin,Zagłębie Sosnowiec,H,2,1,2,61,39,21,10,7,3,14,7,,,,,5,4,3,2,,,2,5,14,23,,,3.0,3.0,,,,,,,110,79,86,54,1.62,6.1,3.7,2018-07-28
237,Arka Gdynia,Jagiellonia Białystok,A,0,2,2,64,36,9,18,2,4,7,14,,,,,9,2,3,0,,,2,2,10,10,,,3.0,2.0,,,,,,,120,91,51,41,2.72,2.7,3.15,2018-07-29
239,Górnik Zabrze,Wisła Płock,D,1,1,2,40,60,9,17,3,4,6,13,,,,,3,9,1,3,,,3,2,13,12,,,,,,,,,,,89,116,36,73,3.1,2.36,3.2,2018-07-29
