,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
295,Arka Gdynia,Jagiellonia Białystok,A,0,3,1,47,53,14,10,2,4,12,6,,,10.0,10.0,9,6,1,2,20.0,18.0,1,2,15,10,,,1.0,1.0,,,374.0,478.0,,,97,99,84,55,2.83,2.7,3.25,2019-07-19
243,ŁKS Łódź,Lechia Gdańsk,D,0,0,1,67,33,20,7,7,6,13,1,,,,,6,4,1,1,,,6,7,14,16,0.0,1.0,2.0,0.0,,,584.0,228.0,,,139,88,119,60,2.925,2.575,3.325,2019-07-19
240,Piast Gliwice,Lech Poznań,D,1,1,1,37,63,7,20,3,7,4,13,,,,,3,9,3,0,,,6,2,20,11,1.0,0.0,2.0,1.0,,,277.0,471.0,,,64,107,51,99,2.71,2.8,3.3,2019-07-20
241,Wisła Kraków,Śląsk Wrocław,A,0,1,1,57,43,10,12,4,4,6,8,,,,,6,12,3,2,,,3,4,12,11,,,1.0,2.0,,,452.0,349.0,,,105,89,73,93,2.675,2.78,3.375,2019-07-20
242,Raków Częstochowa,Korona Kielce,A,0,1,1,52,48,4,15,1,10,3,5,,,,,4,4,0,4,,,9,1,14,26,,,1.0,1.0,,,394.0,319.0,,,122,113,76,71,2.35,3.26,3.325,2019-07-20
238,Legia Warszawa,Pogoń Szczecin,A,1,2,1,54,46,18,15,5,7,13,8,,,,,8,3,2,2,,,5,4,16,18,,,2.0,2.0,,,341.0,299.0,,,98,91,82,42,2.0,3.93,3.7,2019-07-21
239,Zagłębie Lubin,Cracovia,D,1,1,1,43,57,8,15,2,7,6,8,,,,,2,5,1,1,,,6,1,18,22,,,0.0,2.0,,,299.0,406.0,,,116,110,85,83,2.275,3.365,3.4,2019-07-21
237,Wisła Płock,Górnik Zabrze,D,1,1,1,59,41,15,11,2,7,13,4,,,,,9,5,1,0,,,6,1,15,19,,,3.0,4.0,,,392.0,257.0,,,96,95,65,46,2.72,2.725,3.375,2019-07-22
236,Lech Poznań,Wisła Płock,H,4,0,2,58,42,14,11,6,3,8,8,,,,,2,2,0,1,,,3,2,19,12,1.0,0.0,3.0,2.0,,,430.0,311.0,,,81,93,52,63,1.8,4.715,3.725,2019-07-26
294,Górnik Zabrze,Zagłębie Lubin,H,1,0,2,47,53,16,13,3,2,13,11,,,,,6,5,2,2,,,2,2,15,12,,,2.0,0.0,0.0,0.0,333.0,453.0,,,114,93,95,78,2.475,2.955,3.41,2019-07-26
234,Jagiellonia Białystok,Raków Częstochowa,A,0,1,2,43,57,17,12,5,8,12,4,,,,,5,3,1,2,,,7,5,14,21,,,3.0,4.0,,,390.0,454.0,,,104,117,63,48,1.9,4.31,3.6,2019-07-27
