,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
180,Pogoń Szczecin,Wisła Kraków,D,2,2,3,55,45,12,9,4,3,8,6,,,,,8,3,4,1,,,1,2,18,14,,,2.0,1.0,,,356.0,275.0,,,98.0,74.0,94.0,57.0,2.1,3.7,3.48,2020-09-13
178,Raków Częstochowa,Zagłębie Lubin,H,2,1,3,40,60,13,12,4,3,9,9,,,,,5,5,1,0,,,2,2,17,10,,,3.0,3.0,,,265.0,472.0,,,94.0,107.0,81.0,85.0,2.105,3.47,3.675,2020-09-14
177,Wisła Kraków,Wisła Płock,A,0,3,4,55,45,10,13,3,4,7,9,,,,,6,6,1,4,,,1,3,9,18,,,2.0,1.0,,,420.0,314.0,,,129.0,115.0,93.0,80.0,2.135,3.585,3.555,2020-09-18
236,Podbeskidzie B-B,Raków Częstochowa,A,1,4,4,57,43,9,21,4,8,5,13,,,,,3,8,0,0,,,4,3,19,13,,,1.0,2.0,,,407.0,288.0,,,84.0,87.0,46.0,62.0,3.47,2.175,3.5,2020-09-18
176,Lechia Gdańsk,Stal Mielec,H,4,2,4,57,43,28,9,10,3,18,6,,,,,11,6,0,1,,,1,6,16,14,,,3.0,2.0,,,402.0,280.0,,,101.0,87.0,95.0,52.0,2.165,3.52,3.475,2020-09-19
175,Pogoń Szczecin,Śląsk Wrocław,H,1,0,4,56,44,14,12,5,4,9,8,,,,,3,5,3,2,,,4,4,15,16,,,3.0,4.0,,,446.0,302.0,,,97.0,87.0,78.0,65.0,2.4850000000000003,3.0,3.335,2020-09-19
174,Legia Warszawa,Górnik Zabrze,A,1,3,4,68,32,13,10,4,5,9,5,,,,,5,3,5,1,,,2,3,8,16,,,2.0,1.0,,,539.0,246.0,,,144.0,109.0,58.0,32.0,1.6749999999999998,5.005,4.175,2020-09-19
173,Zagłębie Lubin,Cracovia,D,1,1,4,65,35,16,9,6,5,10,4,,,,,5,6,2,0,,,4,5,18,13,,,2.0,1.0,,,478.0,242.0,,,128.0,90.0,106.0,61.0,2.35,3.2350000000000003,3.35,2020-09-20
172,Lech Poznań,Warta Poznań,H,1,0,4,59,41,14,8,4,2,10,6,,,,,5,4,6,2,,,2,3,11,24,,,1.0,3.0,,,446.0,266.0,,,141.0,96.0,102.0,45.0,1.56,5.9350000000000005,4.4849999999999985,2020-09-20
171,Piast Gliwice,Jagiellonia Białystok,A,0,1,4,55,45,16,9,4,5,12,4,,,,,8,5,1,2,,,4,4,10,11,,,2.0,1.0,,,415.0,344.0,,,132.0,90.0,108.0,62.0,2.25,3.245,3.51,2020-09-21
