,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
65,Miedź Legnica,Górnik Zabrze,H,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.575,2.55,3.025,2016-07-29
52,Stal Mielec,Sandecja Nowy Sącz,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.655,2.525,3.0,2016-08-01
51,Górnik Zabrze,Stal Mielec,D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,3.66,3.2,2016-08-05
50,Sandecja Nowy Sącz,GKS Tychy,D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.175,3.045,3.1,2016-08-06
49,Pogoń Siedlce,Sandecja Nowy Sącz,A,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.825,3.075,2016-08-13
48,GKS Tychy,Górnik Zabrze,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.675,2.45,3.05,2016-08-14
47,Górnik Zabrze,Pogoń Siedlce,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.645,4.6549999999999985,3.475,2016-08-19
46,Zagłębie Sosnowiec,Sandecja Nowy Sącz,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.275,2.865,3.1,2016-08-21
45,Sandecja Nowy Sącz,Górnik Zabrze,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.375,3.1,2016-08-24
43,MKS Kluczbork,Sandecja Nowy Sącz,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.655,2.475,3.025,2016-08-27
