,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
44,Zagłębie Sosnowiec,Górnik Zabrze,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.455,2.68,3.05,2016-08-27
42,Olimpia Grudziądz,Górnik Zabrze,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,2.575,3.05,2016-09-10
41,Bytovia Bytów,Sandecja Nowy Sącz,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.575,2.595,3.025,2016-09-10
40,Górnik Zabrze,MKS Kluczbork,H,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.475,6.01,3.75,2016-09-14
64,Sandecja Nowy Sącz,Olimpia Grudziądz,H,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.275,2.88,3.1,2016-09-14
39,Sandecja Nowy Sącz,Wigry Suwałki,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.995,3.1,2016-09-17
38,Górnik Zabrze,Bytovia Bytów,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,3.63,3.225,2016-09-17
37,Chrobry Głogów,Sandecja Nowy Sącz,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.625,3.025,2016-09-24
36,Wigry Suwałki,Górnik Zabrze,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.475,2.645,3.1,2016-09-24
35,Górnik Zabrze,Chrobry Głogów,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.825,3.815,3.325,2016-10-02
34,Sandecja Nowy Sącz,Chojniczanka,D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.575,2.585,2.975,2016-10-04
33,Stomil Olsztyn,Sandecja Nowy Sącz,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.65,3.0,2016-10-08
32,Chojniczanka,Górnik Zabrze,D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.425,2.745,3.0,2016-10-08
31,Sandecja Nowy Sącz,GKS Katowice,A,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.685,3.025,2016-10-15
30,Górnik Zabrze,Stomil Olsztyn,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,4.455,3.4,2016-10-16
29,Znicz Pruszków,Sandecja Nowy Sącz,A,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,2.25,3.05,2016-10-21
28,GKS Katowice,Górnik Zabrze,D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.73,3.025,2016-10-23
27,Górnik Zabrze,Znicz Pruszków,A,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,6.555,3.9,2016-10-29
63,Sandecja Nowy Sącz,Podbeskidzie B-B,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.625,3.025,2016-10-29
26,Wisła Puławy,Sandecja Nowy Sącz,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.625,2.51,3.025,2016-11-05
25,Podbeskidzie B-B,Górnik Zabrze,D,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,2.57,3.025,2016-11-06
62,Sandecja Nowy Sącz,Miedź Legnica,H,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.425,2.7350000000000003,3.025,2016-11-12
24,Górnik Zabrze,Wisła Puławy,H,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,6.0600000000000005,3.8,2016-11-13
23,Górnik Zabrze,Miedź Legnica,A,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.975,3.4850000000000003,3.1500000000000004,2016-11-20
22,Stal Mielec,Górnik Zabrze,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.1500000000000004,3.1,2016-11-27
61,Górnik Zabrze,GKS Tychy,H,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,4.35,3.4,2017-03-03
21,Sandecja Nowy Sącz,Pogoń Siedlce,H,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,3.05,3.1,2017-03-04
19,Sandecja Nowy Sącz,Zagłębie Sosnowiec,H,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.0,3.1,2017-03-11
20,Pogoń Siedlce,Górnik Zabrze,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.15,3.1,2017-03-11
60,Górnik Zabrze,Sandecja Nowy Sącz,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.0,3.1,2017-03-17
18,Sandecja Nowy Sącz,MKS Kluczbork,H,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.0,3.5,2017-03-25
59,Olimpia Grudziądz,Sandecja Nowy Sącz,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.7,3.1,2017-03-31
17,MKS Kluczbork,Górnik Zabrze,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,1.63,3.5,2017-04-01
58,GKS Tychy,Sandecja Nowy Sącz,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.325,2.865,3.075,2017-04-05
16,Sandecja Nowy Sącz,Bytovia Bytów,H,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.0,3.5,2017-04-08
15,Górnik Zabrze,Olimpia Grudziądz,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,4.0,3.3,2017-04-08
57,Górnik Zabrze,Zagłębie Sosnowiec,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,3.8,3.25,2017-04-12
13,Bytovia Bytów,Górnik Zabrze,A,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.25,3.1,2017-04-15
14,Wigry Suwałki,Sandecja Nowy Sącz,A,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,2.55,3.05,2017-04-15
56,Sandecja Nowy Sącz,Stal Mielec,H,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,4.055,3.25,2017-04-19
12,Górnik Zabrze,Wigry Suwałki,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,3.65,3.2,2017-04-21
11,Sandecja Nowy Sącz,Chrobry Głogów,H,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,4.0,3.3,2017-04-22
10,Chrobry Głogów,Górnik Zabrze,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.55,3.1,2017-04-28
9,Chojniczanka,Sandecja Nowy Sącz,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.9,3.05,2017-04-29
8,Górnik Zabrze,Chojniczanka,H,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,3.0,3.1,2017-05-05
7,Sandecja Nowy Sącz,Stomil Olsztyn,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,4.55,3.45,2017-05-06
55,GKS Katowice,Sandecja Nowy Sącz,A,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.25,3.2,2017-05-12
6,Stomil Olsztyn,Górnik Zabrze,A,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.15,3.2,2017-05-13
54,Sandecja Nowy Sącz,Znicz Pruszków,H,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,8.5,4.5,2017-05-16
5,Górnik Zabrze,GKS Katowice,H,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.75,3.15,2017-05-16
53,Podbeskidzie B-B,Sandecja Nowy Sącz,H,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.85,3.2,2017-05-20
4,Znicz Pruszków,Górnik Zabrze,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,1.72,3.5,2017-05-21
2,Górnik Zabrze,Podbeskidzie B-B,H,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,4.15,3.4,2017-05-28
3,Sandecja Nowy Sącz,Wisła Puławy,D,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,4.15,3.4,2017-05-28
1,Wisła Puławy,Górnik Zabrze,A,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,1.6,3.75,2017-06-04
0,Miedź Legnica,Sandecja Nowy Sącz,H,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,4.0,3.75,2017-06-04
