,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
295,Wisła Płock,Lechia Gdańsk,A,0,2,1,48%,52%,8.0,16.0,3.0,7.0,5.0,9.0,,,,,3.0,4.0,0.0,0.0,,,5.0,3.0,10.0,12.0,1.0,0.0,1.0,2.0,,,,,,,113.0,138.0,51.0,68.0,3.55,2.1,3.15,2017-07-14
237,Pogoń Szczecin,Wisła Kraków,A,1,2,1,46%,54%,7.0,6.0,4.0,3.0,3.0,3.0,,,,,3.0,6.0,1.0,0.0,,,1.0,3.0,21.0,20.0,,,1.0,2.0,,,,,,,119.0,123.0,47.0,55.0,2.4,2.95,3.15,2017-07-14
235,Górnik Zabrze,Legia Warszawa,H,3,1,1,46%,54%,16.0,10.0,6.0,7.0,10.0,3.0,,,,,5.0,11.0,4.0,2.0,,,6.0,3.0,24.0,11.0,,,2.0,2.0,,,,,,,91.0,102.0,56.0,97.0,4.75,1.66,3.8,2017-07-15
236,Cracovia,Piast Gliwice,D,1,1,1,45%,55%,6.0,12.0,1.0,3.0,5.0,9.0,,,,,2.0,3.0,2.0,0.0,,,2.0,0.0,14.0,11.0,,,3.0,3.0,,,,,,,62.0,88.0,38.0,57.0,2.2,3.15,3.3,2017-07-15
232,Lech Poznań,Sandecja Nowy Sącz,D,0,0,1,49%,51%,14.0,11.0,8.0,7.0,6.0,4.0,,,18.0,18.0,8.0,4.0,3.0,2.0,0.0,19.0,7.0,8.0,15.0,16.0,,,1.0,2.0,,,,,,,132.0,85.0,77.0,43.0,1.4,7.7,4.45,2017-07-16
233,Arka Gdynia,Śląsk Wrocław,H,2,0,1,48%,52%,12.0,12.0,6.0,3.0,6.0,9.0,,,17.0,19.0,5.0,9.0,0.0,1.0,22.0,33.0,3.0,4.0,19.0,16.0,,,2.0,2.0,,,,,,,86.0,94.0,51.0,52.0,2.65,2.65,3.15,2017-07-16
234,Bruk-Bet T.,Jagiellonia Białystok,A,0,1,1,53%,47%,4.0,6.0,1.0,2.0,3.0,4.0,,,9.0,15.0,6.0,2.0,4.0,0.0,37.0,20.0,1.0,1.0,11.0,8.0,,,0.0,1.0,,,,,,,115.0,103.0,75.0,48.0,2.7,2.65,3.12,2017-07-16
231,Korona Kielce,Zagłębie Lubin,A,0,1,1,49%,51%,19.0,10.0,8.0,6.0,11.0,4.0,,,20.0,13.0,4.0,0.0,0.0,3.0,34.0,37.0,5.0,8.0,14.0,17.0,,,1.0,3.0,,,,,,,125.0,105.0,96.0,64.0,3.2,2.22,3.2,2017-07-17
230,Wisła Kraków,Bruk-Bet T.,H,1,0,2,52%,48%,10.0,11.0,5.0,5.0,5.0,6.0,,,18.0,16.0,5.0,2.0,1.0,1.0,27.0,20.0,5.0,4.0,16.0,17.0,,,7.0,4.0,,,,,,,123.0,87.0,69.0,54.0,1.71,4.7,3.6,2017-07-21
294,Sandecja Nowy Sącz,Arka Gdynia,D,0,0,2,48%,52%,6.0,7.0,4.0,5.0,2.0,2.0,,,0.0,12.0,4.0,3.0,1.0,0.0,34.0,32.0,5.0,4.0,11.0,15.0,,,1.0,0.0,,,,,,,103.0,111.0,71.0,68.0,2.4,2.98,3.15,2017-07-21
227,Legia Warszawa,Korona Kielce,D,1,1,2,50%,50%,11.0,13.0,6.0,6.0,5.0,7.0,,,14.0,13.0,9.0,7.0,2.0,2.0,28.0,28.0,5.0,5.0,12.0,12.0,,,0.0,2.0,,,,,,,78.0,73.0,72.0,54.0,1.27,10.5,5.5,2017-07-22
229,Piast Gliwice,Pogoń Szczecin,A,1,2,2,54%,46%,7.0,8.0,2.0,5.0,5.0,3.0,,,19.0,8.0,2.0,5.0,0.0,0.0,21.0,26.0,3.0,1.0,8.0,17.0,,,,,,,,,,,99.0,71.0,55.0,45.0,2.15,3.35,3.2,2017-07-22
228,Lechia Gdańsk,Cracovia,A,0,1,2,54%,46%,12.0,5.0,5.0,3.0,7.0,2.0,,,24.0,17.0,9.0,5.0,3.0,3.0,50.0,23.0,2.0,5.0,15.0,19.0,,,1.0,5.0,,,,,,,97.0,65.0,76.0,51.0,1.57,6.1,3.8,2017-07-22
225,Jagiellonia Białystok,Górnik Zabrze,H,2,1,2,55%,45%,11.0,8.0,8.0,6.0,3.0,2.0,,,23.0,19.0,8.0,3.0,4.0,1.0,22.0,27.0,5.0,6.0,16.0,24.0,0.0,2.0,1.0,6.0,,,,,,,82.0,69.0,70.0,41.0,1.8,4.3,3.55,2017-07-23
226,Wisła Płock,Lech Poznań,H,1,0,2,44%,56%,6.0,5.0,4.0,1.0,2.0,4.0,,,9.0,18.0,2.0,7.0,0.0,2.0,24.0,30.0,1.0,3.0,19.0,9.0,0.0,1.0,4.0,1.0,,,,,,,98.0,91.0,34.0,63.0,3.55,2.0,3.4,2017-07-23
224,Zagłębie Lubin,Śląsk Wrocław,H,1,0,2,51%,49%,5.0,8.0,3.0,3.0,2.0,5.0,,,,,5.0,5.0,2.0,3.0,,,3.0,2.0,16.0,16.0,1.0,0.0,4.0,1.0,,,,,,,110.0,148.0,66.0,103.0,2.1,3.55,3.25,2017-07-24
223,Śląsk Wrocław,Lechia Gdańsk,H,3,2,3,48%,52%,14.0,8.0,7.0,3.0,7.0,5.0,,,14.0,15.0,3.0,5.0,0.0,2.0,17.0,18.0,1.0,4.0,15.0,12.0,,,3.0,3.0,,,,,,,97.0,108.0,44.0,57.0,2.92,2.45,3.2,2017-07-28
293,Bruk-Bet T.,Zagłębie Lubin,D,1,1,3,47%,53%,5.0,5.0,3.0,2.0,2.0,3.0,,,16.0,21.0,3.0,4.0,1.0,1.0,30.0,26.0,1.0,2.0,20.0,15.0,,,2.0,1.0,,,,,,,129.0,135.0,48.0,54.0,2.75,2.65,3.15,2017-07-28
