,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
295,Wisła Płock,Lechia Gdańsk,H,2,1,1,34,66,10.0,7.0,4,3,4,1,2.0,3.0,15.0,17.0,7,5,0.0,3.0,29.0,19.0,2.0,2.0,17.0,13.0,,,3.0,6.0,,,,,,,,,,,3.075,2.25,3.05,2016-07-15
242,Śląsk Wrocław,Lech Poznań,D,0,0,1,40,60,10.0,13.0,3,4,7,8,0.0,1.0,9.0,12.0,5,4,2.0,1.0,35.0,22.0,4.0,3.0,10.0,8.0,,,1.0,0.0,,,,,,,,,,,2.75,2.525,2.975,2016-07-15
241,Ruch Chorzów,Górnik Łęczna,H,2,1,1,57,43,11.0,14.0,4,8,5,4,2.0,2.0,24.0,10.0,12,4,0.0,2.0,17.0,15.0,7.0,2.0,10.0,22.0,,,0.0,2.0,,,,,,,,,,,2.35,2.92,3.05,2016-07-16
240,Wisła Kraków,Pogoń Szczecin,H,2,1,1,53,47,13.0,19.0,3,9,4,6,6.0,4.0,18.0,17.0,4,5,1.0,2.0,32.0,27.0,8.0,1.0,16.0,16.0,,,0.0,3.0,,,,,,,,,,,1.925,3.775,3.2,2016-07-16
239,Legia Warszawa,Jagiellonia Białystok,D,1,1,1,64,36,11.0,14.0,5,5,3,7,3.0,2.0,12.0,9.0,6,6,0.0,1.0,42.0,25.0,4.0,4.0,9.0,11.0,1.0,0.0,1.0,2.0,,,,,,,,,,,1.65,4.88,3.5,2016-07-16
238,Zagłębie Lubin,Korona Kielce,H,4,0,1,66,34,19.0,17.0,7,2,7,9,5.0,6.0,15.0,13.0,7,7,0.0,0.0,13.0,16.0,2.0,3.0,12.0,15.0,,,1.0,2.0,,,,,,,,,,,1.76,4.26,3.375,2016-07-17
237,Cracovia,Piast Gliwice,H,5,1,1,58,42,21.0,7.0,8,4,7,1,6.0,2.0,13.0,16.0,6,3,1.0,7.0,25.0,19.0,3.0,3.0,18.0,8.0,,,2.0,2.0,,,,,,,,,,,1.95,3.715,3.1500000000000004,2016-07-17
236,Bruk-Bet T.,Arka Gdynia,H,2,0,1,41,59,14.0,16.0,3,5,7,8,4.0,3.0,14.0,17.0,8,5,0.0,0.0,28.0,27.0,5.0,1.0,19.0,14.0,,,3.0,2.0,,,,,,,,,,,2.3,2.975,3.05,2016-07-18
294,Pogoń Szczecin,Korona Kielce,D,1,1,2,62,38,12.0,9.0,3,2,6,3,3.0,4.0,20.0,19.0,6,4,1.0,1.0,28.0,25.0,1.0,2.0,18.0,19.0,,,1.0,4.0,,,,,,,,,,,1.61,5.195,3.5,2016-07-22
235,Arka Gdynia,Wisła Kraków,H,3,0,2,38,62,13.0,20.0,5,5,5,12,3.0,3.0,16.0,22.0,5,4,2.0,0.0,34.0,28.0,5.0,2.0,20.0,17.0,,,1.0,2.0,,,,,,,,,,,2.66,2.625,2.975,2016-07-22
