,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
90,Bruk-Bet T.,Widzew Łódź,H,2,0,65,35,11,3,4,0,6,2,1,1,33,17,6,3,5,7,,,0,2,12,26,,,1,1,,,,,,,96,76,72,53,1.86,4.45,3.535,2020-11-20
50,Sandecja Nowy Sącz,Radomiak Radom,D,1,1,51,49,9,9,3,5,5,3,1,1,12,30,3,3,3,1,,,4,2,27,11,0.0,1.0,2,0,,,,,,,96,77,45,40,3.8,2.025,3.475,2020-11-22
49,Odra Opole,Górnik Łęczna,D,1,1,46,54,11,8,5,4,3,1,3,3,25,14,3,6,0,5,,,3,4,14,20,,,2,3,,,,,,,87,90,40,66,2.575,2.95,3.135,2020-11-22
89,Puszcza Niepołomice,Bruk-Bet T.,D,0,0,45,55,4,5,0,2,4,3,0,0,14,24,2,7,2,2,,,2,0,22,12,,,4,1,,,,,,,69,123,22,57,3.625,2.125,3.355,2020-11-25
48,Górnik Łęczna,ŁKS Łódź,H,2,0,38,62,10,10,5,3,4,4,1,3,20,15,4,4,1,0,,,3,3,14,19,,,0,1,,,,,,,82,135,46,48,4.425000000000002,1.8,3.805,2020-11-27
46,Radomiak Radom,GKS Bełchatów,H,2,0,64,36,7,13,4,4,1,6,2,3,18,11,6,7,1,1,,,4,2,10,17,0.0,1.0,1,4,,,,,,,58,46,47,25,1.69,4.85,4.050000000000002,2020-11-28
47,Bruk-Bet T.,GKS Tychy,D,0,0,73,27,23,7,11,1,8,2,4,4,19,8,8,2,3,6,,,1,11,5,13,,,0,2,,,,,,,159,70,100,25,1.6,5.725,4.075,2020-11-28
88,Stomil Olsztyn,Górnik Łęczna,H,2,1,53,47,9,10,4,4,4,5,1,1,15,15,4,7,4,1,,,3,2,11,14,0.0,1.0,1,1,,,,,,,99,96,41,37,2.855,2.6100000000000003,3.21,2020-12-01
45,Bruk-Bet T.,ŁKS Łódź,H,2,0,58,42,10,7,4,2,2,1,4,4,19,28,3,4,5,2,,,2,2,23,17,,,2,8,,,,,,,105,79,53,41,1.725,4.65,4.025,2020-12-05
43,Górnik Łęczna,Zagłębie Sosnowiec,H,4,1,56,44,16,12,9,6,5,4,2,2,17,14,7,5,1,0,,,5,5,14,17,,,2,1,,,,,,,108,101,56,49,2.46,2.83,3.525,2020-12-06
44,Radomiak Radom,Arka Gdynia,D,0,0,51,49,6,11,4,5,1,5,1,1,14,13,2,4,2,2,,,5,4,11,12,,,1,1,,,,,,,109,104,41,52,2.58,2.89,3.225,2020-12-06
42,Bruk-Bet T.,Odra Opole,D,1,1,69,31,15,9,6,3,5,2,4,4,23,16,6,1,2,1,,,2,5,14,22,,,3,1,,,,,,,137,59,105,34,1.545,6.324999999999998,4.25,2020-12-09
87,Resovia Rzeszów,Radomiak Radom,D,0,0,34,66,4,15,0,5,1,7,3,3,20,22,2,9,0,1,,,5,0,22,19,,,3,3,,,,,,,62,125,32,62,3.775,2.05,3.425,2020-12-09
41,Stomil Olsztyn,Bruk-Bet T.,A,1,4,39,61,13,15,5,7,5,5,3,3,15,30,8,4,6,0,,,3,4,24,15,,,2,2,,,,,,,46,95,30,50,5.25,1.76,3.51,2020-12-12
39,Sandecja Nowy Sącz,Górnik Łęczna,D,1,1,60,40,13,10,4,3,6,4,3,3,17,24,6,4,2,2,,,2,3,22,14,0.0,1.0,2,3,,,,,,,106,53,68,32,2.95,2.575,3.125,2020-12-13
40,Korona Kielce,Radomiak Radom,A,0,2,54,46,13,16,3,4,4,6,6,6,15,18,5,6,2,4,,,2,3,16,11,,,3,3,,,,,,,106,88,59,56,2.975,2.585,3.135,2020-12-13
38,Widzew Łódź,Radomiak Radom,D,1,1,45,55,10,13,4,8,3,3,3,2,14,13,8,4,2,0,,,7,3,11,14,1.0,0.0,2,1,,,,,,,98,96,74,74,2.535,3.055,3.05,2021-02-26
37,Zagłębie Sosnowiec,Bruk-Bet T.,D,1,1,29,71,11,10,3,5,5,5,3,0,16,28,4,3,5,2,,,4,2,23,14,,,3,3,,,,,,,64,80,48,52,3.8,2.125,3.2,2021-02-27
36,GKS Bełchatów,Górnik Łęczna,A,1,2,45,55,14,10,5,4,3,2,6,4,27,17,7,0,1,2,,,2,4,16,24,,,2,3,,,,,,,71,81,44,29,2.955,2.525,3.21,2021-02-27
35,Bruk-Bet T.,Sandecja Nowy Sącz,D,2,2,66,34,14,11,5,4,4,4,5,3,39,18,2,4,4,3,,,2,3,14,36,,,1,5,,,,,,,87,80,39,65,1.5,6.875,4.285,2021-03-05
34,Resovia Rzeszów,Górnik Łęczna,A,0,2,56,44,8,12,1,5,5,5,2,2,14,18,4,2,1,0,,,3,1,17,14,,,2,3,,,,,,,93,57,50,29,3.425,2.225,3.33,2021-03-06
33,Radomiak Radom,Chrobry Głogów,A,1,2,71,29,25,4,7,2,7,2,11,0,18,20,9,2,3,1,,,0,6,17,17,0.0,1.0,3,3,,,,,,,123,63,92,24,1.825,4.575,3.585,2021-03-06
86,GKS Bełchatów,Bruk-Bet T.,A,1,2,27,73,5,17,4,4,1,8,0,5,17,29,2,9,1,2,,,2,3,28,15,,,2,3,,,,,,,43,106,23,69,4.824999999999998,1.725,3.81,2021-03-12
32,Arka Gdynia,Górnik Łęczna,A,0,2,50,50,12,12,0,5,8,3,4,4,23,17,8,6,1,1,,,3,0,16,22,1.0,0.0,4,3,,,,,,,99,101,50,49,2.21,3.325,3.38,2021-03-13
31,Radomiak Radom,GKS Jastrzębie,H,2,0,48,52,13,4,2,1,4,1,7,2,11,15,9,3,1,0,,,1,0,14,11,,,2,3,,,,,,,92,112,51,44,1.625,5.575,4.025,2021-03-13
30,Górnik Łęczna,Korona Kielce,A,0,1,60,40,13,8,5,2,5,3,3,3,24,10,4,3,1,0,,,1,5,9,24,,,1,2,,,,,,,124,99,59,41,2.165,3.55,3.3,2021-03-19
29,Resovia Rzeszów,Bruk-Bet T.,H,3,1,46,54,10,10,5,3,5,4,0,3,25,15,6,1,1,2,,,2,2,15,22,0.0,1.0,5,4,,,,,,,69,66,57,35,4.975,1.745,3.71,2021-03-20
28,Radomiak Radom,Górnik Łęczna,H,3,0,52,48,16,11,11,3,4,7,1,1,18,18,5,5,1,2,,,3,8,17,16,,,3,3,,,,,,,112,87,58,42,2.2350000000000003,3.35,3.35,2021-03-27
85,Górnik Łęczna,Chrobry Głogów,H,3,0,53,47,15,5,5,3,9,2,1,0,15,12,5,5,0,0,,,3,2,12,15,,,0,1,,,,,,,115,101,55,37,2.0,4.05,3.325,2021-04-01
27,Miedź Legnica,Radomiak Radom,A,0,1,53,47,5,17,2,4,3,9,0,4,18,17,0,6,2,1,,,3,2,15,17,,,2,3,,,,,,,86,62,42,50,2.655,2.785,3.23,2021-04-03
26,GKS Jastrzębie,Górnik Łęczna,D,1,1,52,48,15,10,4,6,8,2,3,2,17,16,9,5,2,1,,,5,3,14,16,,,2,3,,,,,,,103,88,55,49,3.15,2.6,2.95,2021-04-10
84,Puszcza Niepołomice,Radomiak Radom,A,0,4,47,53,10,14,2,9,3,2,5,3,18,22,4,5,0,0,,,5,2,22,18,,,3,2,,,,,,,80,104,45,60,3.0,2.55,3.055,2021-04-14
25,Górnik Łęczna,Puszcza Niepołomice,D,0,0,56,44,9,8,1,2,7,4,1,2,20,22,1,7,1,4,,,2,1,21,16,,,1,1,,,,,,,116,90,40,50,2.0,4.05,3.375,2021-04-17
24,GKS Tychy,Radomiak Radom,H,1,0,55,45,15,15,6,3,6,9,3,3,15,19,8,5,3,0,,,3,5,16,16,0.0,2.0,2,6,,,,,,,82,85,54,50,3.075,2.505,3.125,2021-04-20
83,Arka Gdynia,Bruk-Bet T.,D,1,1,38,62,16,13,5,3,6,7,5,3,12,25,7,2,2,2,,,2,4,22,10,,,3,2,,,,,,,64,81,36,39,2.685,2.865,3.125,2021-04-21
23,Widzew Łódź,Górnik Łęczna,D,0,0,56,44,16,5,2,0,6,5,8,0,14,19,7,2,1,2,,,0,2,18,12,,,1,1,,,,,,,130,99,92,59,2.475,3.1,3.15,2021-04-23
21,Radomiak Radom,Odra Opole,H,1,0,53,47,16,6,6,4,9,1,1,1,18,13,8,2,3,1,,,4,5,10,17,,,0,1,,,,,,,95,83,84,28,1.66,5.95,3.65,2021-04-24
22,GKS Jastrzębie,Bruk-Bet T.,D,0,0,37,63,8,18,0,3,3,7,5,8,11,26,3,6,0,0,,,3,0,26,11,,,1,0,,,,,,,80,113,44,59,4.425,1.86,3.56,2021-04-24
82,Miedź Legnica,Górnik Łęczna,H,1,0,62,38,8,9,3,5,5,3,0,1,24,19,5,5,1,1,,,5,2,18,23,,,0,2,,,,,,,88,71,60,34,2.56,3.025,3.1100000000000003,2021-04-27
20,ŁKS Łódź,Radomiak Radom,D,1,1,55,45,9,14,3,5,2,7,4,2,18,17,6,13,1,1,,,4,2,16,17,,,4,2,,,,,,,87,96,34,70,2.63,2.925,3.1500000000000004,2021-04-28
19,Bruk-Bet T.,Puszcza Niepołomice,H,4,0,70,30,11,3,5,0,6,1,0,2,22,15,5,0,3,3,,,0,1,12,19,,,2,4,,,,,,,128,51,56,28,1.635,5.9,3.81,2021-04-28
18,Górnik Łęczna,Bruk-Bet T.,D,3,3,34,66,8,11,5,5,2,4,1,2,11,21,3,10,0,1,,,2,2,21,10,1.0,0.0,2,2,,,,,,,77,121,36,58,3.275,2.34,3.1500000000000004,2021-05-02
17,Radomiak Radom,Stomil Olsztyn,H,1,0,65,35,15,3,4,1,8,1,3,1,16,16,7,2,1,1,,,1,3,15,15,0.0,1.0,0,3,,,,,,,127,72,80,16,1.45,7.95,4.375,2021-05-02
81,Bruk-Bet T.,Korona Kielce,H,6,2,61,39,14,14,9,5,4,1,1,8,20,14,4,5,5,3,,,3,3,9,17,,,1,2,,,,,,,83,82,57,42,1.54,7.175,3.925,2021-05-05
16,Zagłębie Sosnowiec,Radomiak Radom,A,0,1,56,44,10,7,3,2,5,2,2,3,16,18,2,5,4,2,,,2,3,14,14,,,1,2,,,,,,,81,71,33,36,3.75,2.04,3.475,2021-05-07
15,GKS Tychy,Górnik Łęczna,H,3,1,44,56,15,13,7,4,5,7,3,2,13,14,10,4,0,1,,,3,4,14,12,,,2,1,,,,,,,77,106,40,62,2.355,3.25,3.205,2021-05-07
14,Bruk-Bet T.,Miedź Legnica,A,0,2,67,33,8,6,2,2,5,3,1,1,24,13,2,2,1,2,,,0,2,12,22,,,4,3,,,,,,,126,65,67,38,1.85,4.5,3.56,2021-05-08
80,Radomiak Radom,Bruk-Bet T.,A,0,1,60,40,15,5,6,2,6,3,3,0,18,16,6,2,2,4,,,1,6,14,14,,,3,5,,,,,,,110,74,72,27,2.4000000000000004,3.1,3.275,2021-05-12
13,Górnik Łęczna,Odra Opole,D,1,1,51,49,8,8,3,3,3,3,2,2,16,24,3,4,1,1,,,2,2,23,15,,,3,1,,,,,,,89,82,38,37,2.09,3.875,3.2750000000000004,2021-05-15
11,Radomiak Radom,Sandecja Nowy Sącz,H,3,0,56,44,13,6,5,1,2,4,6,1,10,24,6,3,4,1,,,1,2,20,10,,,1,4,,,,,,,85,70,49,38,1.725,5.2,3.68,2021-05-16
12,Widzew Łódź,Bruk-Bet T.,D,1,1,34,66,14,11,6,3,3,3,5,5,11,30,6,8,2,2,,,2,5,28,9,,,4,4,,,,,,,66,104,52,75,3.475,2.215,3.285,2021-05-16
79,Bruk-Bet T.,Chrobry Głogów,D,0,0,76,24,21,10,6,3,12,5,3,2,5,3,3,8,0,1,,,3,6,3,4,,,2,1,,,,,,,142,55,74,30,1.635,5.375,4.05,2021-05-19
78,GKS Bełchatów,Radomiak Radom,A,0,1,53,47,3,14,0,3,1,8,2,3,6,28,5,10,1,0,,,2,0,27,6,0.0,1.0,3,3,,,,,,,71,63,30,44,6.403333333333332,1.53,4.15,2021-05-21
10,GKS Tychy,Bruk-Bet T.,A,0,2,43,57,13,11,3,2,5,2,5,7,16,18,8,8,3,0,,,0,3,15,16,,,3,3,,,,,,,81,94,47,41,2.885,2.6100000000000003,3.165,2021-05-22
9,ŁKS Łódź,Górnik Łęczna,H,3,1,63,37,20,7,7,2,7,4,6,1,22,11,7,3,1,0,,,1,4,10,22,,,1,3,,,,,,,107,91,51,44,1.6749999999999998,5.125,3.975,2021-05-22
8,Radomiak Radom,Resovia Rzeszów,H,3,1,61,39,24,5,9,2,9,2,6,1,13,8,5,2,0,1,,,1,6,8,12,,,2,1,,,,,,,98,92,63,43,1.51,6.525,4.4,2021-05-29
7,Odra Opole,Bruk-Bet T.,H,1,0,29,71,4,19,2,4,1,8,1,7,11,24,3,9,6,2,,,4,1,18,8,,,1,0,,,,,,,51,118,30,71,3.875,2.025,3.425,2021-05-30
6,Górnik Łęczna,Stomil Olsztyn,D,1,1,59,41,20,11,3,3,13,6,4,2,13,11,9,1,0,2,,,2,2,11,11,,,1,2,,,,,,,97,61,57,47,1.755,4.825,3.75,2021-05-30
5,ŁKS Łódź,Bruk-Bet T.,H,3,2,50,50,16,8,9,4,4,4,3,0,12,23,4,4,3,2,,,2,6,20,11,,,0,4,,,,,,,75,84,38,47,3.025,2.5,3.185,2021-06-04
4,Arka Gdynia,Radomiak Radom,A,0,2,54,46,16,13,3,7,11,3,2,3,20,20,8,2,2,3,,,5,3,18,17,,,2,4,,,,,,,114,107,67,50,2.675,2.775,3.275,2021-06-05
3,Zagłębie Sosnowiec,Górnik Łęczna,A,0,1,60,40,20,13,5,3,9,6,6,4,15,10,11,3,0,4,,,2,5,10,12,,,0,1,,,,,,,80,56,54,33,2.78,2.5250000000000004,3.475,2021-06-06
1,Górnik Łęczna,Sandecja Nowy Sącz,H,3,0,46,54,18,15,8,5,5,6,5,4,24,16,5,10,3,3,,,5,5,13,23,,,2,1,,,,,,,153,170,86,105,2.1500000000000004,3.475,3.43,2021-06-13
0,Bruk-Bet T.,Stomil Olsztyn,D,0,0,71,29,13,4,2,1,7,3,4,0,17,11,7,2,1,2,,,1,2,10,15,,,0,1,,,,,,,131,63,110,38,1.335,9.975,5.175000000000002,2021-06-13
2,Radomiak Radom,Korona Kielce,H,2,0,50,50,14,6,3,1,6,5,5,0,13,24,10,3,0,0,,,1,1,24,13,,,3,4,,,,,,,84,67,57,28,1.535,6.475,4.25,2021-06-13
77,GKS Tychy,Górnik Łęczna,A,1,2,41,59,16,25,7,8,8,9,1,8,16,14,4,11,3,2,,,7,6,11,14,,,0,2,,,,,,,105,121,59,74,2.105,3.5,3.525,2021-06-16
76,ŁKS Łódź,Górnik Łęczna,A,0,1,67,33,19,12,3,5,9,5,7,2,20,14,6,7,4,1,,,4,3,10,19,,,1,3,,,,,,,140,57,73,38,2.0,4.025,3.375,2021-06-20
