,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
73,Bruk-Bet T.,Zagłębie Sosnowiec,H,1,0,62,38,20,16,5,4,6,7,9,5,22,17,7,3,1,3,,,4,4,16,19,,,2,1,,,,,,,78,45,66,31,1.75,4.57,3.85,2020-08-29
75,Radomiak Radom,Widzew Łódź,H,4,1,62,38,16,12,5,3,6,4,5,5,27,20,5,1,1,4,,,2,1,19,23,,,0,3,,,,,,,114,90,75,28,2.325,2.955,3.56,2020-08-29
74,Górnik Łęczna,GKS Bełchatów,H,3,0,49,51,10,10,5,2,3,6,2,2,19,23,1,5,2,0,,,2,2,21,19,,,1,2,,,,,,,116,116,35,58,1.82,4.24,3.785,2020-08-29
72,Sandecja Nowy Sącz,Bruk-Bet T.,A,0,1,29,71,8,21,1,7,4,11,3,3,13,24,5,5,2,2,,,6,1,22,11,1.0,0.0,2,2,,,,,,,36,100,31,57,3.295,2.165,3.55,2020-09-05
71,Górnik Łęczna,Resovia Rzeszów,H,2,0,44,56,12,15,6,6,5,8,1,1,10,14,2,8,0,0,,,6,4,14,10,,,2,2,,,,,,,114,115,46,77,2.24,3.265,3.405,2020-09-06
70,GKS Jastrzębie,Radomiak Radom,A,0,1,39,61,7,13,0,6,3,3,4,4,15,25,5,7,4,2,,,5,0,21,13,,,2,0,,,,,,,116,136,91,106,3.905,2.01,3.45,2020-09-11
69,Bruk-Bet T.,GKS Bełchatów,H,2,0,71,29,20,10,4,2,11,3,5,5,13,12,9,1,2,2,,,2,2,10,11,,,0,1,,,,,,,106,55,82,32,1.625,5.23,4.15,2020-09-12
97,Chrobry Głogów,Radomiak Radom,A,1,2,46,54,10,10,5,2,3,6,2,2,19,17,6,2,2,3,,,0,4,16,16,1.0,0.0,5,4,,,,,,,54,67,39,41,3.085,2.35,3.4,2020-09-16
68,Bruk-Bet T.,Resovia Rzeszów,H,2,0,62,38,16,5,7,1,6,1,3,3,20,26,7,5,3,3,,,1,5,23,17,,,3,2,,,,,,,102,84,66,38,1.5950000000000002,5.51,4.2,2020-09-19
67,Korona Kielce,Górnik Łęczna,A,0,2,54,46,23,6,6,2,13,0,4,4,22,23,4,0,3,3,,,0,6,21,19,,,2,2,,,,,,,106,93,71,32,2.26,3.22,3.4000000000000004,2020-09-20
66,Bruk-Bet T.,Arka Gdynia,A,0,1,60,40,9,10,3,4,3,3,3,3,25,18,6,4,4,3,,,3,3,14,22,,,1,3,,,,,,,92,72,65,46,2.645,2.635,3.3,2020-09-25
65,Górnik Łęczna,Radomiak Radom,H,2,1,41,59,8,18,3,7,2,8,3,3,12,18,4,10,2,1,,,6,1,16,11,,,1,5,,,,,,,56,119,25,59,3.385,2.2350000000000003,3.425,2020-09-26
62,Radomiak Radom,Miedź Legnica,A,0,2,62,38,14,12,1,2,10,7,3,3,28,18,7,1,0,6,,,0,1,18,22,,,4,3,,,,,,,111,76,75,41,2.1100000000000003,3.52,3.46,2020-09-30
63,Korona Kielce,Bruk-Bet T.,A,0,3,41,59,13,17,2,8,7,5,4,4,13,16,5,5,0,2,,,5,2,16,11,,,4,1,,,,,,,92,95,62,48,3.54,2.085,3.5,2020-09-30
64,Chrobry Głogów,Górnik Łęczna,D,1,1,54,46,13,12,4,4,6,5,3,3,7,13,9,7,1,0,,,3,3,12,7,,,3,0,,,,,,,71,68,42,36,2.55,2.79,3.35,2020-09-30
61,Bruk-Bet T.,Radomiak Radom,H,3,2,60,40,14,11,6,6,6,3,2,2,24,19,2,10,7,2,,,4,3,12,22,,,1,4,,,,,,,104,69,53,65,2.3,3.2,3.36,2020-10-04
60,Bruk-Bet T.,GKS Jastrzębie,H,2,0,54,46,19,14,8,4,7,6,4,4,24,11,4,8,2,2,,,4,6,9,22,,,1,3,,,,,,,114,115,80,73,1.435,6.95,4.9350000000000005,2020-10-16
59,Odra Opole,Radomiak Radom,D,1,1,48,52,8,11,2,2,3,6,3,3,20,15,4,2,1,0,,,1,1,14,18,0.0,1.0,5,4,,,,,,,100,85,54,47,2.76,2.45,3.6,2020-10-16
58,Górnik Łęczna,Widzew Łódź,D,0,0,38,62,6,7,5,5,1,2,0,0,20,19,3,10,1,3,,,5,5,18,17,1.0,0.0,3,1,,,,,,,79,148,23,85,2.675,2.635,3.41,2020-10-17
96,Radomiak Radom,Puszcza Niepołomice,H,2,0,49,51,15,9,4,0,6,4,5,5,25,14,0,2,1,3,,,0,2,14,22,,,1,2,,,,,,,96,105,44,49,1.99,3.925,3.48,2020-10-21
95,Górnik Łęczna,Arka Gdynia,H,2,0,39,61,14,9,7,2,6,6,1,1,16,19,5,3,2,2,,,2,5,17,14,,,1,2,,,,,,,93,118,38,65,3.125,2.325,3.4,2020-10-21
57,Górnik Łęczna,Miedź Legnica,H,1,0,47,53,10,7,4,2,5,4,1,1,15,20,9,5,1,1,,,2,3,19,13,,,1,3,,,,,,,100,136,45,41,2.58,2.885,3.235,2020-10-25
94,Radomiak Radom,GKS Tychy,D,2,2,53,47,11,6,5,3,3,0,3,3,16,15,4,3,1,0,,,1,3,15,17,,,3,6,,,,,,,93,87,60,35,1.975,3.8,3.625,2020-10-28
56,Chrobry Głogów,Bruk-Bet T.,A,0,2,34,66,5,12,1,4,2,6,2,2,21,20,3,4,0,5,,,2,1,20,16,1.0,0.0,2,0,,,,,,,43,82,28,44,3.75,2.06,3.435,2020-11-04
93,Stomil Olsztyn,Radomiak Radom,A,0,1,52,48,10,11,3,3,6,7,1,1,19,15,5,6,1,3,,,2,3,14,16,,,3,2,,,,,,,94,82,60,57,3.925,2.06,3.275,2020-11-06
55,Bruk-Bet T.,Górnik Łęczna,H,2,1,66,34,10,6,8,1,1,4,1,1,31,13,5,2,3,4,,,0,6,10,27,1.0,0.0,3,5,,,,,,,122,74,53,39,1.63,5.6,3.95,2020-11-07
92,Górnik Łęczna,GKS Jastrzębie,H,2,1,56,44,16,11,5,5,6,1,5,5,10,15,3,5,0,0,,,4,3,15,11,,,1,2,,,,,,,121,107,80,32,1.81,4.775,3.55,2020-11-11
54,Radomiak Radom,Zagłębie Sosnowiec,D,0,0,59,41,11,12,2,4,3,2,6,6,19,12,12,5,0,1,,,4,2,12,18,1.0,0.0,1,3,,,,,,,142,107,75,60,2.0,3.925,3.45,2020-11-14
53,Miedź Legnica,Bruk-Bet T.,A,2,3,36,64,14,10,6,4,7,5,1,1,21,26,5,4,4,2,,,1,4,22,19,1.0,0.0,2,3,,,,,,,62,78,47,41,3.325,2.31,3.225,2020-11-15
52,Górnik Łęczna,GKS Tychy,D,1,1,49,51,15,12,7,5,4,3,4,4,16,19,3,7,2,1,,,4,6,17,15,,,2,1,,,,,,,141,150,71,68,2.35,3.125,3.33,2020-11-15
91,Puszcza Niepołomice,Górnik Łęczna,H,1,0,46,54,15,8,5,2,6,2,4,4,18,22,4,7,1,0,,,2,4,21,18,,,4,0,,,,,,,92,96,56,64,2.465,3.1,3.16,2020-11-18
51,Radomiak Radom,ŁKS Łódź,H,1,0,33,67,7,6,2,3,5,3,0,0,23,15,3,2,1,1,,,3,1,14,22,,,2,4,,,,,,,72,122,33,64,3.7,2.0,3.7,2020-11-18
