,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
223,Zagłębie Lubin,Górnik Łęczna,H,3,1,2,51,49,7,4,4,2,3,2,,,,,2,4,1,3,,,1,1,13,13,,,0.0,2.0,,,430.0,378.0,,,115.0,98.0,73.0,68.0,1.845,4.550000000000002,3.7,2021-07-30
183,Radomiak Radom,Legia Warszawa,H,3,1,2,43,57,25,8,8,2,17,6,,,,,6,6,0,2,,,1,5,18,18,1.0,2.0,4.0,3.0,,,251.0,397.0,,,77.0,101.0,53.0,54.0,3.5,2.255,3.3,2021-07-31
184,Bruk-Bet T.,Wisła Kraków,D,2,2,2,49,51,14,13,6,4,8,9,,,,,3,4,2,2,,,2,4,13,12,,,2.0,1.0,,,381.0,419.0,,,81.0,91.0,69.0,87.0,2.725,2.725,3.325,2021-07-31
185,Stal Mielec,Piast Gliwice,A,0,2,2,55,45,16,9,6,3,10,6,,,,,9,2,2,3,,,1,6,10,18,,,,,,,450.0,371.0,,,85.0,73.0,60.0,34.0,3.2,2.375,3.305,2021-07-31
182,Warta Poznań,Pogoń Szczecin,D,1,1,2,38,62,6,20,1,6,5,14,,,,,3,7,2,2,,,5,0,14,10,1.0,1.0,3.0,3.0,,,247.0,502.0,,,81.0,102.0,49.0,89.0,3.2750000000000004,2.43,3.13,2021-08-01
180,Jagiellonia Białystok,Raków Częstochowa,H,3,0,2,45,55,11,6,3,2,8,4,,,,,3,7,1,2,,,2,0,19,13,,,1.0,2.0,,,,,,,91.0,124.0,54.0,88.0,2.6,2.885,3.3,2021-08-01
181,Cracovia,Śląsk Wrocław,A,1,2,2,60,40,17,13,7,5,10,8,,,,,12,6,1,2,,,3,6,15,17,0.0,2.0,2.0,4.0,,,439.0,243.0,,,91.0,72.0,85.0,37.0,2.165,3.7,3.305,2021-08-01
179,Lechia Gdańsk,Wisła Płock,H,1,0,2,44,56,9,12,4,4,5,8,,,,,8,9,1,3,,,4,3,14,13,,,3.0,3.0,,,254.0,365.0,,,79.0,109.0,78.0,87.0,2.42,3.0,3.475,2021-08-02
222,Górnik Łęczna,Warta Poznań,A,0,4,3,56,44,10,13,4,6,6,7,,,,,1,6,1,1,,,2,4,19,16,,,2.0,1.0,,,398.0,337.0,,,85.0,98.0,40.0,55.0,2.925,2.675,3.1500000000000004,2021-08-06
178,Lech Poznań,Cracovia,H,2,0,3,51,49,16,4,5,0,11,4,,,,,4,1,2,2,,,0,3,16,9,,,2.0,1.0,,,329.0,336.0,,,96.0,93.0,69.0,45.0,1.735,5.325,3.705,2021-08-06
177,Jagiellonia Białystok,Bruk-Bet T.,H,1,0,3,42,58,9,8,4,2,5,6,,,,,0,4,4,0,,,2,3,16,17,,,2.0,1.0,,,371.0,515.0,,,98.0,123.0,45.0,76.0,2.3,3.25,3.41,2021-08-07
176,Górnik Zabrze,Stal Mielec,H,1,0,3,54,46,12,8,5,0,7,8,,,,,3,3,5,4,,,0,4,14,14,,,0.0,3.0,,,407.0,328.0,,,117.0,83.0,82.0,41.0,2.2,3.425,3.48,2021-08-07
174,Wisła Kraków,Raków Częstochowa,A,1,2,3,65,35,12,10,5,7,7,3,,,,,4,8,1,1,,,5,4,10,16,0.0,1.0,0.0,3.0,,,566.0,246.0,,,102.0,79.0,85.0,75.0,2.425,3.015,3.3,2021-08-08
175,Pogoń Szczecin,Piast Gliwice,H,1,0,3,58,42,10,14,2,5,8,9,,,,,4,8,3,0,,,5,1,8,12,,,0.0,1.0,,,479.0,369.0,,,97.0,82.0,77.0,75.0,2.15,3.775,3.275,2021-08-08
173,Śląsk Wrocław,Lechia Gdańsk,D,1,1,3,43,57,20,20,8,8,12,12,,,,,6,8,5,1,,,7,7,14,17,,,1.0,2.0,,,279.0,393.0,,,93.0,101.0,73.0,93.0,2.7,2.78,3.3,2021-08-08
172,Wisła Płock,Radomiak Radom,H,1,0,3,55,45,11,10,4,3,7,7,,,,,8,3,2,1,,,3,3,13,17,,,1.0,4.0,,,384.0,306.0,,,106.0,111.0,68.0,56.0,2.73,2.92,3.075,2021-08-09
221,Bruk-Bet T.,Lech Poznań,A,1,3,4,56,44,12,16,5,5,7,11,,,,,7,8,1,0,,,2,4,7,20,,,4.0,1.0,,,444.0,297.0,,,77.0,69.0,50.0,43.0,5.1,1.81,3.51,2021-08-13
171,Stal Mielec,Wisła Kraków,H,2,1,4,44,56,11,17,6,5,5,12,,,,,8,4,2,4,,,4,4,10,21,,,3.0,2.0,,,304.0,465.0,,,102.0,109.0,82.0,96.0,3.1500000000000004,2.315,3.5,2021-08-13
170,Piast Gliwice,Wisła Płock,H,4,3,4,47,53,15,10,5,3,10,7,,,,,6,1,5,1,,,0,2,19,14,0.0,1.0,1.0,1.0,,,352.0,419.0,,,88.0,101.0,72.0,60.0,2.035,4.075,3.3600000000000003,2021-08-14
169,Lechia Gdańsk,Cracovia,H,3,0,4,45,55,11,10,4,3,7,7,,,,,3,3,2,2,,,3,1,19,11,,,3.0,2.0,,,315.0,414.0,,,81.0,87.0,50.0,53.0,2.26,3.475,3.2750000000000004,2021-08-14
168,Warta Poznań,Legia Warszawa,A,0,2,4,47,53,9,12,1,3,8,9,,,,,4,10,1,1,,,1,1,20,13,,,2.0,1.0,,,360.0,376.0,,,102.0,108.0,44.0,73.0,3.125,2.36,3.425,2021-08-14
166,Zagłębie Lubin,Pogoń Szczecin,H,2,0,4,36,64,15,11,3,3,12,8,,,,,5,9,0,1,,,3,1,12,9,,,3.0,3.0,,,246.0,400.0,,,52.0,60.0,35.0,75.0,3.25,2.43,3.16,2021-08-15
167,Śląsk Wrocław,Górnik Łęczna,D,0,0,4,56,44,12,6,2,1,10,5,,,,,8,6,1,1,,,1,2,15,13,,,2.0,2.0,,,473.0,339.0,,,95.0,89.0,106.0,53.0,1.81,4.6,3.775,2021-08-15
165,Jagiellonia Białystok,Górnik Zabrze,A,1,3,4,52,48,7,9,2,3,5,6,,,,,2,7,1,3,,,0,1,14,9,,,2.0,1.0,,,513.0,424.0,,,123.0,118.0,75.0,66.0,2.265,3.35,3.4,2021-08-16
220,Wisła Płock,Zagłębie Lubin,H,4,0,5,50,50,14,16,7,5,7,11,,,,,5,10,0,1,,,5,3,13,10,,,1.0,3.0,,,281.0,260.0,,,127.0,112.0,64.0,68.0,2.375,3.15,3.4,2021-08-20
164,Radomiak Radom,Warta Poznań,H,1,0,5,48,52,12,8,4,1,8,7,,,,,7,7,1,3,,,1,3,14,20,,,0.0,2.0,,,276.0,282.0,,,85.0,87.0,74.0,68.0,2.155,3.625,3.385,2021-08-20
161,Górnik Łęczna,Wisła Kraków,A,1,3,5,38,62,9,19,1,10,8,9,,,,,0,5,1,4,,,7,1,9,15,,,1.0,2.0,,,296.0,617.0,,,92.0,117.0,46.0,85.0,3.55,2.18,3.4,2021-08-21
162,Cracovia,Jagiellonia Białystok,H,2,1,5,40,60,11,16,5,6,6,10,,,,,5,7,5,2,,,5,3,12,13,,,3.0,4.0,,,241.0,410.0,,,75.0,113.0,78.0,97.0,2.355,3.225,3.3,2021-08-21
163,Pogoń Szczecin,Stal Mielec,H,4,1,5,54,46,27,5,9,2,18,3,,,,,10,3,5,0,,,1,5,12,8,,,0.0,3.0,,,391.0,372.0,,,91.0,81.0,95.0,47.0,1.66,5.5,4.025,2021-08-21
159,Lech Poznań,Lechia Gdańsk,H,2,0,5,45,55,15,5,5,0,10,5,,,,,7,10,2,3,,,0,3,10,9,,,1.0,3.0,,,332.0,394.0,,,92.0,91.0,60.0,55.0,1.5750000000000002,6.925000000000002,3.925,2021-08-22
160,Piast Gliwice,Śląsk Wrocław,D,1,1,5,53,47,10,13,3,4,7,9,,,,,7,8,1,5,,,3,2,14,14,,,2.0,2.0,,,427.0,355.0,,,84.0,85.0,67.0,89.0,2.01,3.9,3.56,2021-08-22
158,Warta Poznań,Jagiellonia Białystok,D,1,1,6,44,56,10,21,2,5,8,16,,,,,2,6,1,3,,,4,1,9,10,,,0.0,1.0,,,364.0,494.0,,,100.0,95.0,36.0,74.0,2.8,2.8,3.125,2021-08-27
219,Stal Mielec,Górnik Łęczna,H,2,0,6,43,57,6,14,3,3,3,11,,,,,4,10,3,3,,,3,1,16,18,1.0,0.0,2.0,3.0,,,320.0,417.0,,,79.0,105.0,74.0,87.0,2.025,4.0,3.425,2021-08-27
157,Bruk-Bet T.,Cracovia,A,1,2,6,62,38,9,11,6,2,3,9,,,,,4,5,1,2,,,0,5,17,19,,,2.0,3.0,,,398.0,233.0,,,84.0,74.0,80.0,72.0,2.6100000000000003,3.05,3.1,2021-08-28
156,Lechia Gdańsk,Radomiak Radom,D,2,2,6,52,48,13,11,5,3,8,8,,,,,10,5,4,2,,,1,3,15,11,,,3.0,1.0,,,417.0,371.0,,,118.0,98.0,105.0,71.0,2.435,3.2,3.2,2021-08-28
155,Lech Poznań,Pogoń Szczecin,D,1,1,6,40,60,9,11,3,3,6,8,,,,,5,6,0,1,,,2,2,8,13,1.0,0.0,2.0,2.0,,,279.0,443.0,,,80.0,103.0,58.0,64.0,1.95,4.075,3.635,2021-08-28
154,Górnik Zabrze,Piast Gliwice,A,0,1,6,46,54,10,10,2,5,8,5,,,,,8,4,1,2,,,4,2,13,8,,,3.0,2.0,,,324.0,441.0,,,97.0,110.0,74.0,83.0,2.785,2.8,3.13,2021-08-28
151,Wisła Kraków,Legia Warszawa,H,1,0,6,51,49,12,12,4,3,8,9,,,,,5,9,2,3,,,3,3,14,5,,,1.0,2.0,,,302.0,294.0,,,89.0,100.0,71.0,82.0,3.1,2.375,3.425,2021-08-29
153,Wisła Płock,Raków Częstochowa,D,1,1,6,49,51,12,15,6,6,6,9,,,,,3,8,1,0,,,5,5,20,20,,,2.0,3.0,,,312.0,333.0,,,107.0,97.0,43.0,68.0,2.965,2.585,3.225,2021-08-29
152,Zagłębie Lubin,Śląsk Wrocław,A,1,3,6,55,45,16,9,5,5,11,4,,,,,7,3,2,0,,,2,4,16,10,,,2.0,0.0,,,432.0,337.0,,,115.0,105.0,96.0,67.0,2.335,3.225,3.375,2021-08-29
148,Śląsk Wrocław,Legia Warszawa,H,1,0,7,43,57,15,9,4,3,11,6,,,,,5,10,5,0,,,3,3,23,6,,,3.0,6.0,,,348.0,485.0,,,98.0,130.0,71.0,93.0,3.7,2.1100000000000003,3.45,2021-09-11
218,Warta Poznań,Bruk-Bet T.,D,0,0,7,42,58,10,15,6,4,4,11,,,,,7,3,0,5,,,4,6,19,11,,,1.0,2.0,,,260.0,395.0,,,108.0,106.0,58.0,66.0,2.475,3.075,3.235,2021-09-11
149,Jagiellonia Białystok,Stal Mielec,D,1,1,7,58,42,13,9,5,2,8,7,,,,,3,2,4,1,,,1,4,22,7,,,3.0,3.0,,,456.0,332.0,,,145.0,85.0,82.0,41.0,1.71,5.35,3.825,2021-09-11
150,Cracovia,Górnik Zabrze,D,2,2,7,57,43,15,9,6,3,9,6,,,,,10,1,1,1,,,1,4,9,18,,,3.0,3.0,,,418.0,323.0,,,83.0,100.0,78.0,64.0,2.41,3.225,3.185,2021-09-11
146,Wisła Kraków,Lechia Gdańsk,D,2,2,7,64,36,18,12,7,4,11,8,,,,,14,1,2,0,,,2,5,7,14,1.0,0.0,4.0,4.0,,,414.0,221.0,,,96.0,64.0,113.0,46.0,2.01,3.825,3.625,2021-09-12
147,Piast Gliwice,Zagłębie Lubin,A,0,1,7,52,48,15,14,5,5,10,9,,,,,6,9,1,1,,,4,5,12,12,,,2.0,3.0,,,412.0,372.0,,,83.0,79.0,67.0,64.0,2.015,3.925,3.505,2021-09-12
145,Raków Częstochowa,Lech Poznań,D,2,2,7,42,58,15,14,7,6,8,8,,,,,2,5,0,0,,,4,5,12,15,,,3.0,3.0,,,296.0,463.0,,,96.0,100.0,57.0,51.0,2.93,2.55,3.325,2021-09-12
144,Górnik Łęczna,Wisła Płock,H,3,2,7,55,45,17,9,6,2,11,7,,,,,5,6,2,1,,,0,3,17,18,,,3.0,2.0,,,433.0,315.0,,,115.0,107.0,61.0,52.0,3.275,2.31,3.375,2021-09-13
143,Radomiak Radom,Pogoń Szczecin,D,1,1,7,55,45,20,10,5,5,15,5,,,,,8,2,2,0,,,4,4,18,14,,,3.0,1.0,,,325.0,304.0,,,111.0,93.0,74.0,50.0,3.15,2.525,3.1,2021-09-13
217,Zagłębie Lubin,Bruk-Bet T.,H,2,1,8,42,58,19,18,5,8,14,10,,,,,5,6,1,1,,,7,3,18,13,,,4.0,0.0,,,303.0,445.0,,,93.0,99.0,74.0,89.0,2.125,3.65,3.425,2021-09-17
142,Lech Poznań,Wisła Kraków,H,5,0,8,49,51,20,10,11,0,9,10,,,,,3,5,2,4,,,0,6,9,13,,,2.0,6.0,,,331.0,341.0,,,85.0,98.0,55.0,69.0,1.6,5.875,4.175,2021-09-17
138,Lechia Gdańsk,Piast Gliwice,H,1,0,8,53,47,11,10,7,1,4,9,,,,,7,3,3,2,,,1,6,26,5,,,1.0,0.0,,,436.0,415.0,,,104.0,117.0,62.0,76.0,2.305,3.25,3.4,2021-09-18
141,Wisła Płock,Jagiellonia Białystok,H,3,0,8,52,48,10,10,6,3,4,7,,,,,5,6,0,1,,,3,3,12,17,,,1.0,2.0,,,354.0,366.0,,,97.0,96.0,63.0,56.0,2.55,2.975,3.275,2021-09-18
140,Pogoń Szczecin,Cracovia,D,1,1,8,55,45,17,6,3,3,14,3,,,,,4,2,2,3,,,2,2,11,15,,,5.0,3.0,,,347.0,298.0,,,110.0,87.0,84.0,56.0,1.88,4.800000000000002,3.4,2021-09-18
139,Radomiak Radom,Śląsk Wrocław,D,1,1,8,55,45,20,14,4,4,16,10,,,,,11,2,2,2,,,3,3,12,23,,,2.0,3.0,,,344.0,289.0,,,109.0,86.0,75.0,39.0,2.53,3.0,3.28,2021-09-18
136,Górnik Zabrze,Warta Poznań,H,1,0,8,58,42,18,8,4,2,14,6,,,,,7,2,1,1,,,2,3,9,7,,,1.0,1.0,,,491.0,373.0,,,136.0,105.0,92.0,60.0,2.085,3.925,3.335,2021-09-19
135,Legia Warszawa,Górnik Łęczna,H,3,1,8,54,46,19,15,11,3,8,12,,,,,10,1,1,1,,,2,8,14,10,,,0.0,1.0,,,484.0,401.0,,,107.0,99.0,66.0,50.0,1.355,9.225,5.35,2021-09-19
137,Stal Mielec,Raków Częstochowa,A,0,3,8,57,43,11,15,1,8,10,7,,,,,9,9,1,2,,,5,1,7,16,0.0,1.0,4.0,5.0,,,442.0,269.0,,,70.0,75.0,52.0,66.0,4.675,1.88,3.475,2021-09-19
216,Górnik Łęczna,Lechia Gdańsk,A,0,4,9,31,69,6,25,4,9,2,16,,,,,5,6,0,0,,,5,4,15,15,1.0,0.0,3.0,2.0,,,320.0,648.0,,,74.0,112.0,44.0,84.0,3.55,2.185,3.36,2021-09-24
134,Jagiellonia Białystok,Lech Poznań,H,1,0,9,36,64,8,15,2,3,6,12,,,,,2,8,2,2,,,3,1,10,6,,,1.0,2.0,,,385.0,640.0,,,69.0,82.0,38.0,72.0,4.675,1.815,3.7,2021-09-24
133,Stal Mielec,Radomiak Radom,H,1,0,9,35,65,8,21,6,5,2,16,,,,,3,11,0,2,,,5,5,13,14,,,1.0,3.0,,,235.0,457.0,,,64.0,111.0,59.0,112.0,3.15,2.425,3.275,2021-09-25
132,Warta Poznań,Zagłębie Lubin,A,0,2,9,57,43,21,11,8,5,13,6,,,,,13,2,0,2,,,3,8,13,15,,,2.0,2.0,,,364.0,287.0,,,118.0,78.0,100.0,41.0,3.0,2.51,3.275,2021-09-25
131,Legia Warszawa,Raków Częstochowa,A,2,3,9,61,39,15,11,5,5,10,6,,,,,4,7,0,0,,,2,3,19,12,,,5.0,2.0,,,510.0,253.0,,,98.0,71.0,75.0,60.0,2.23,3.55,3.275,2021-09-25
130,Bruk-Bet T.,Górnik Zabrze,H,3,1,9,52,48,10,20,4,5,6,15,,,,,5,6,1,2,,,4,1,5,12,,,1.0,3.0,,,321.0,302.0,,,95.0,78.0,69.0,66.0,2.95,2.55,3.275,2021-09-26
129,Śląsk Wrocław,Wisła Płock,H,3,1,9,51,49,15,12,3,4,12,8,,,,,2,3,3,1,,,3,0,10,12,,,2.0,3.0,,,303.0,358.0,,,92.0,108.0,63.0,64.0,2.125,3.675,3.45,2021-09-26
128,Wisła Kraków,Pogoń Szczecin,A,0,1,9,53,47,8,14,2,3,6,11,,,,,3,6,4,5,,,2,2,10,10,,,2.0,2.0,,,514.0,490.0,,,90.0,93.0,74.0,80.0,2.775,2.655,3.35,2021-09-26
127,Piast Gliwice,Cracovia,A,2,4,9,58,42,4,12,2,8,2,4,,,,,5,1,0,0,,,4,0,13,16,,,0.0,1.0,,,495.0,390.0,,,120.0,80.0,89.0,52.0,2.41,3.325,3.135,2021-09-27
215,Raków Częstochowa,Radomiak Radom,D,2,2,4,59,41,18,14,6,3,12,11,,,,,5,6,1,0,,,1,4,12,13,,,2.0,3.0,,,376.0,259.0,,,86.0,60.0,67.0,46.0,1.84,4.775,3.55,2021-09-29
126,Piast Gliwice,Wisła Kraków,H,1,0,10,36,64,8,13,3,4,5,9,,,,,3,9,3,3,,,4,2,9,12,,,1.0,4.0,,,222.0,500.0,,,72.0,114.0,52.0,97.0,2.575,2.79,3.475,2021-10-01
214,Zagłębie Lubin,Jagiellonia Białystok,A,0,1,10,65,35,14,6,2,2,12,4,,,,,7,3,1,1,,,1,2,13,12,,,1.0,2.0,,,552.0,260.0,,,111.0,66.0,70.0,40.0,2.355,3.275,3.275,2021-10-01
125,Radomiak Radom,Bruk-Bet T.,D,1,1,10,57,43,27,8,8,2,19,6,,,,,11,3,6,0,,,1,7,8,5,,,2.0,3.0,,,361.0,306.0,,,103.0,88.0,93.0,45.0,2.35,3.4000000000000004,3.175,2021-10-02
124,Cracovia,Stal Mielec,D,3,3,10,56,44,11,8,2,6,9,2,,,,,6,3,5,0,,,3,1,16,14,,,2.0,3.0,,,391.0,288.0,,,85.0,89.0,76.0,47.0,1.95,4.275,3.475,2021-10-02
123,Lech Poznań,Śląsk Wrocław,H,4,0,10,57,43,15,8,9,1,6,7,,,,,1,5,3,0,,,1,5,9,8,,,0.0,1.0,,,469.0,336.0,,,113.0,75.0,58.0,44.0,1.565,6.15,4.275,2021-10-02
122,Górnik Zabrze,Wisła Płock,H,4,2,10,51,49,22,9,11,3,11,6,,,,,2,4,1,1,,,1,7,13,14,,,3.0,3.0,,,388.0,357.0,,,88.0,105.0,58.0,72.0,2.025,3.8,3.575,2021-10-02
121,Raków Częstochowa,Warta Poznań,H,3,0,10,58,42,14,6,6,1,8,5,,,,,4,2,2,3,,,1,3,10,12,,,0.0,1.0,,,411.0,298.0,,,96.0,59.0,82.0,56.0,1.685,5.775,3.725,2021-10-03
120,Pogoń Szczecin,Górnik Łęczna,H,4,1,10,59,41,21,6,10,3,11,3,,,,,9,1,3,3,,,2,6,10,13,,,,,,,424.0,309.0,,,81.0,66.0,93.0,39.0,1.375,10.325,4.785,2021-10-03
119,Lechia Gdańsk,Legia Warszawa,H,3,1,10,58,42,21,10,9,5,12,5,,,,,7,4,0,2,,,4,6,24,12,,,3.0,3.0,,,401.0,304.0,,,100.0,82.0,80.0,59.0,2.95,2.55,3.3,2021-10-03
118,Bruk-Bet T.,Lechia Gdańsk,A,0,2,11,42,58,13,13,2,4,11,9,,,,,4,13,4,6,,,2,2,4,7,,,0.0,1.0,,,270.0,456.0,,,66.0,71.0,47.0,82.0,3.725,2.135,3.35,2021-10-16
117,Górnik Zabrze,Wisła Kraków,A,0,1,11,58,42,16,16,3,4,13,12,,,,,7,6,2,1,,,3,3,11,14,,,1.0,0.0,,,436.0,315.0,,,114.0,93.0,92.0,66.0,2.13,3.725,3.375,2021-10-16
116,Śląsk Wrocław,Raków Częstochowa,A,1,2,11,54,46,14,9,4,6,10,3,,,,,4,2,1,0,,,4,3,12,16,,,2.0,4.0,,,492.0,402.0,,,110.0,102.0,85.0,64.0,3.275,2.33,3.325,2021-10-16
213,Górnik Łęczna,Piast Gliwice,D,1,1,11,50,50,9,9,4,2,5,7,,,,,7,4,3,0,,,1,3,16,10,,,3.0,2.0,,,412.0,460.0,,,74.0,66.0,42.0,37.0,3.7,2.18,3.275,2021-10-16
115,Wisła Płock,Pogoń Szczecin,H,1,0,11,42,58,6,11,3,2,3,9,,,,,3,5,1,2,,,2,2,17,13,1.0,0.0,8.0,2.0,,,260.0,396.0,,,91.0,106.0,57.0,69.0,3.425,2.31,3.2350000000000003,2021-10-17
114,Cracovia,Warta Poznań,H,2,0,11,58,42,15,10,9,4,6,6,,,,,6,4,4,0,,,4,7,15,13,,,2.0,4.0,,,414.0,244.0,,,101.0,81.0,70.0,57.0,1.94,4.525,3.36,2021-10-17
113,Legia Warszawa,Lech Poznań,A,0,1,11,57,43,10,16,1,5,9,11,,,,,7,4,0,1,,,4,1,14,18,,,4.0,2.0,,,399.0,284.0,,,138.0,90.0,71.0,44.0,2.675,2.73,3.4,2021-10-17
111,Jagiellonia Białystok,Radomiak Radom,D,1,1,11,50,50,17,10,8,3,9,7,,,,,7,7,0,0,,,2,7,23,11,,,3.0,1.0,,,412.0,336.0,,,109.0,105.0,82.0,67.0,2.3,3.325,3.325,2021-10-18
112,Stal Mielec,Zagłębie Lubin,H,4,2,11,42,58,15,13,8,5,7,8,,,,,7,3,3,2,,,3,4,8,17,0.0,1.0,0.0,4.0,,,323.0,452.0,,,78.0,96.0,44.0,61.0,2.865,2.655,3.2350000000000003,2021-10-18
212,Radomiak Radom,Górnik Łęczna,H,3,1,12,52,48,15,11,8,1,7,10,,,,,6,1,0,2,,,0,5,11,13,,,0.0,2.0,,,435.0,399.0,,,82.0,78.0,48.0,37.0,1.71,5.425000000000002,3.7,2021-10-22
110,Lech Poznań,Wisła Płock,H,4,1,12,58,42,26,6,13,2,13,4,,,,,4,1,1,1,,,1,9,12,15,,,2.0,2.0,,,451.0,335.0,,,103.0,66.0,82.0,37.0,1.38,9.05,4.875,2021-10-22
106,Wisła Kraków,Śląsk Wrocław,A,0,5,12,56,44,7,22,1,13,6,9,,,,,5,5,1,0,,,8,1,18,9,,,3.0,1.0,,,422.0,330.0,,,96.0,77.0,72.0,75.0,2.225,3.325,3.425,2021-10-23
107,Pogoń Szczecin,Jagiellonia Białystok,H,4,1,12,62,38,21,6,10,4,11,2,,,,,11,6,0,0,,,3,6,5,14,0.0,1.0,0.0,1.0,,,423.0,277.0,,,98.0,51.0,95.0,40.0,1.705,5.324999999999998,3.775,2021-10-23
108,Lechia Gdańsk,Górnik Zabrze,D,1,1,12,58,42,11,11,2,6,9,5,,,,,7,6,0,3,,,5,1,10,10,,,2.0,2.0,,,471.0,364.0,,,144.0,131.0,87.0,73.0,2.155,3.525,3.425,2021-10-23
109,Raków Częstochowa,Bruk-Bet T.,H,3,2,12,43,57,15,12,9,4,6,8,,,,,4,5,11,0,,,2,6,14,11,,,1.0,3.0,,,291.0,437.0,,,84.0,99.0,88.0,75.0,1.5,7.025,4.25,2021-10-23
103,Piast Gliwice,Legia Warszawa,H,4,1,12,40,60,15,20,7,5,8,15,,,,,1,14,2,1,,,4,3,17,17,,,2.0,2.0,,,293.0,475.0,,,82.0,103.0,56.0,109.0,3.325,2.33,3.225,2021-10-24
104,Warta Poznań,Stal Mielec,D,0,0,12,55,45,8,8,2,3,6,5,,,,,8,3,3,0,,,3,2,16,11,,,1.0,1.0,,,374.0,314.0,,,101.0,82.0,78.0,37.0,2.325,3.25,3.3,2021-10-24
105,Zagłębie Lubin,Cracovia,D,1,1,12,51,49,14,7,4,4,10,3,,,,,5,4,0,1,,,3,3,16,8,,,4.0,0.0,,,335.0,374.0,,,112.0,109.0,97.0,79.0,2.71,2.9,3.08,2021-10-24
211,Cracovia,Radomiak Radom,A,1,2,13,57,43,12,14,5,8,7,6,,,,,9,4,4,1,,,6,4,12,11,,,2.0,3.0,,,397.0,278.0,,,87.0,84.0,100.0,70.0,2.265,3.375,3.3,2021-10-29
