,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
224,Bruk-Bet T.,Stal Mielec,D,1,1,1,52,48,10,4,3,3,7,1,,,,,1,2,3,0,,,2,2,11,16,,,2.0,2.0,,,472.0,413.0,,,70.0,62.0,45.0,39.0,2.44,3.1500000000000004,3.2350000000000003,2021-07-23
194,Lech Poznań,Radomiak Radom,D,0,0,1,55,45,10,7,6,1,4,6,,,,,9,5,6,2,,,1,6,10,9,,,1.0,1.0,,,443.0,340.0,,,109.0,105.0,90.0,62.0,1.73,4.975,3.925,2021-07-23
191,Legia Warszawa,Wisła Płock,H,1,0,1,55,45,9,16,2,4,7,12,,,,,0,6,2,3,,,4,1,10,20,,,2.0,2.0,,,411.0,364.0,,,106.0,100.0,39.0,66.0,2.2,3.875,3.1500000000000004,2021-07-24
192,Jagiellonia Białystok,Lechia Gdańsk,D,1,1,1,52,48,19,12,5,4,14,8,,,,,5,9,1,1,,,3,4,12,11,,,2.0,1.0,,,406.0,381.0,,,79.0,72.0,49.0,64.0,2.675,2.745,3.375,2021-07-24
193,Górnik Łęczna,Cracovia,D,1,1,1,48,52,11,18,2,7,9,11,,,,,7,7,0,1,,,6,1,13,10,,,3.0,3.0,,,313.0,384.0,,,92.0,80.0,59.0,70.0,3.45,2.29,3.21,2021-07-24
188,Pogoń Szczecin,Górnik Zabrze,H,2,0,1,55,45,8,5,4,1,4,4,,,,,6,5,2,0,,,1,2,11,13,,,1.0,1.0,,,533.0,376.0,,,90.0,76.0,87.0,49.0,1.985,4.25,3.35,2021-07-25
189,Śląsk Wrocław,Warta Poznań,D,2,2,1,52,48,17,11,5,5,12,6,,,,,1,4,0,0,,,3,3,10,14,,,2.0,1.0,,,444.0,409.0,,,118.0,117.0,86.0,59.0,2.33,3.3,3.275,2021-07-25
190,Piast Gliwice,Raków Częstochowa,A,2,3,1,54,46,12,16,7,9,5,7,,,,,4,6,1,1,,,6,5,14,17,,,2.0,2.0,,,415.0,313.0,,,109.0,73.0,77.0,56.0,2.6100000000000003,2.85,3.3,2021-07-25
187,Wisła Kraków,Zagłębie Lubin,H,3,0,1,57,43,9,12,5,4,4,8,,,,,8,5,2,0,,,4,2,18,16,,,4.0,1.0,,,424.0,272.0,,,84.0,89.0,77.0,69.0,2.175,3.475,3.475,2021-07-26
186,Górnik Zabrze,Lech Poznań,A,1,3,2,41,59,6,13,5,9,1,4,,,,,2,12,1,4,,,6,4,13,10,0.0,1.0,2.0,1.0,,,284.0,465.0,,,84.0,105.0,50.0,107.0,3.35,2.2750000000000004,3.375,2021-07-30
