,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
71,Podbeskidzie B-B,Miedź Legnica,H,2,1,54,46,17,9,6,1,9,7,2.0,1.0,14,28,4,0,3.0,0.0,,,0,4,25.0,15.0,0.0,1.0,0,5,,,,,,,80,58,55,35,2.315,3.05,3.35,2019-09-18
69,Stal Mielec,GKS Bełchatów,H,1,0,50,50,15,14,6,0,6,7,3.0,7.0,17,16,4,4,3.0,0.0,,,0,5,13.0,18.0,,,1,2,,,,,,,89,99,34,35,1.54,5.925,4.125,2019-09-21
68,Sandecja Nowy Sącz,Warta Poznań,A,1,2,44,56,10,15,6,6,2,5,2.0,4.0,15,23,3,5,2.0,2.0,,,4,5,21.0,13.0,,,3,4,,,,,,,65,81,31,40,2.35,3.085,3.225,2019-09-21
67,Podbeskidzie B-B,GKS Tychy,D,2,2,50,50,20,10,8,4,9,4,3.0,2.0,16,20,4,4,0.0,2.0,,,2,6,20.0,14.0,,,1,1,,,,,,,76,68,48,39,2.13,3.35,3.43,2019-09-22
66,Radomiak Radom,Stal Mielec,H,2,0,46,54,19,7,7,1,10,5,2.0,1.0,16,23,9,10,1.0,1.0,,,1,5,21.0,14.0,,,1,3,,,,,,,81,94,62,47,2.7,2.67,3.155,2019-09-28
65,Stomil Olsztyn,Podbeskidzie B-B,H,1,0,43,57,11,8,5,2,5,5,1.0,1.0,22,22,3,8,1.0,4.0,,,2,4,21.0,17.0,,,3,0,,,,,,,58,70,32,45,2.81,2.505,3.28,2019-09-28
64,Warta Poznań,Miedź Legnica,H,2,1,57,43,11,11,5,5,4,5,2.0,1.0,16,15,2,3,2.0,3.0,,,4,3,13.0,13.0,,,2,2,,,,,,,95,70,56,42,2.765,2.6,3.155,2019-09-29
63,Stal Mielec,GKS Jastrzębie,H,3,1,53,47,19,8,7,4,10,2,2.0,2.0,9,10,10,8,0.0,0.0,,,3,4,10.0,9.0,,,0,2,,,,,,,101,76,51,41,1.6749999999999998,4.945,3.81,2019-10-04
62,Chrobry Głogów,Warta Poznań,D,0,0,39,61,5,22,3,5,2,12,0.0,5.0,15,25,4,6,2.0,3.0,,,5,3,23.0,12.0,,,4,0,,,,,,,75,111,44,68,2.9850000000000003,2.4000000000000004,3.225,2019-10-05
61,Podbeskidzie B-B,GKS Bełchatów,H,4,0,61,39,20,10,8,4,7,2,5.0,4.0,9,12,3,5,1.0,0.0,,,4,4,11.0,9.0,0.0,1.0,2,5,,,,,,,95,56,52,35,1.955,3.875,3.425,2019-10-05
60,Radomiak Radom,Podbeskidzie B-B,A,1,3,60,40,8,16,3,10,5,6,0.0,0.0,14,21,6,2,2.0,3.0,,,7,2,19.0,11.0,,,3,1,,,,,,,73,55,51,41,2.135,3.355,3.4,2019-10-12
59,Stal Mielec,Sandecja Nowy Sącz,H,5,1,58,42,23,10,12,4,10,4,1.0,2.0,17,18,7,6,2.0,1.0,,,3,7,16.0,17.0,,,2,2,,,,,,,99,69,64,34,1.72,4.824999999999998,3.685,2019-10-18
57,Podbeskidzie B-B,GKS Jastrzębie,A,0,2,55,45,9,12,4,7,2,5,3.0,0.0,11,19,6,5,3.0,1.0,,,5,4,15.0,11.0,,,2,2,,,,,,,87,56,61,35,1.975,3.695,3.525,2019-10-19
58,Warta Poznań,Zagłębie Sosnowiec,A,2,3,65,35,17,11,6,5,5,5,6.0,1.0,26,11,9,4,0.0,5.0,,,2,4,11.0,21.0,0.0,1.0,1,4,,,,,,,102,62,64,25,2.125,3.43,3.35,2019-10-19
56,Puszcza Niepołomice,Warta Poznań,A,0,2,46,54,11,16,3,5,5,8,3.0,3.0,15,18,8,4,0.0,0.0,,,3,3,18.0,15.0,,,1,2,,,,,,,98,102,55,55,2.81,2.58,3.16,2019-10-22
